1. Create amazing story book
2. Run quickly happy horse
3. Jump high old house
4. Read interesting small newspaper
5. Eat healthy fresh vegetable
6. Sing beautiful loud song
7. Drive fast big car
8. Write creative short story
9. Play exciting new game
10. Learn difficult long lesson
11. Build strong tall building
12. Swim slow cold water
13. Dance elegant classic ballet
14. Hear sad bad news
15. See bright colorful picture
16. Make delicious sweet cake
17. Take nice warm shower
18. Go long hard journey
19. Find hidden old treasure
20. Speak clear loud voice
21. Wear comfortable soft cloth
22. Feel happy good emotion
23. Give generous big gift
24. Receive unexpected sad letter
25. Open large heavy door
26. Close small hot stove
27. Pick fresh green apple
28. Drop broken old toy
29. Hold tight warm hand
30. Pull strong hard rope
31. Push heavy big box
32. Carry light small bag
33. Throw far young ball
34. Catch quick fast fish
35. Hit hard old drum
36. Kick strong new ball
37. Head smart old teacher
38. Lead brave little army
39. Follow long difficult path
40. Guide lost small child
41. Help weak old man
42. Support strong big team
43. Protect safe happy home
44. Serve hot fresh food
45. Bring cold sweet water
46. Carry heavy old load
47. Lift light small weight
48. Lower slow big anchor
49. Raise high old flag
50. Wave happy little hand
51. Blow strong cold wind
52. Suck hard old pipe
53. Spit quick sharp tooth
54. Breathe deep fresh air
55. Cough loud rough sound
56. Laugh happy silly joke
57. Cry sad bitter tear
58. Smile bright warm smile
59. Frown dark unhappy face
60. Look sharp keen eye
61. See far clear horizon
62. Watch close old clock
63. Wait long patient hour
64. Hear soft gentle music
65. Listen careful quiet sound
66. Speak loud clear voice
67. Talk quick smart talk
68. Whisper slow secret word
69. Shout loud happy cheer
70. Scream sharp frightened cry
71. Yell loud angry shout
72. Bark loud fierce dog
73. Meow soft little cat
74. Chirp happy sweet bird
75. Buzz busy little bee
76. Hum quiet old tune
77. Ring clear loud bell
78. Knock hard big door
79. Tap light small finger
80. Click quick sharp mouse
81. Beep loud electronic sound
82. Vibrate strong fast phone
83. Shake rough hard ground
84. Quake slow big earth
85. Rumble loud thunder storm
86. Crash loud big wave
87. Boom loud strong explosion
88. Bang loud sharp gun
89. Fire hot big flame
90. Burn slow small fire
91. Melt cold hard ice
92. Freeze quick sharp frost
93. Thaw slow warm snow
94. Grow strong big plant
95. Bloom beautiful colorful flower
96. Wither old weak leaf
97. Fade slow old color
98. Dry hot big desert
99. Wet cold small rain
100. Flow smooth fast river
101. Rise high big sun
102. Set slow old moon
103. Shine bright warm light
104. Glow soft little candle
105. Sparkle bright big diamond
106. Twinkle small sharp star
107. Flash quick bright lightning
108. Flicker slow old flame
109. Dim slow dark room
110. Brighten fast big light
111. Lighten heavy old load
112. Darken slow small space
113. Warm cold big house
114. Cool hot small fan
115. Heat slow old stove
116. Chill fast cold water
117. Freeze quick sharp ice
118. Thaw slow warm snow
119. Melt slow big glacier
120. Evaporate slow small cloud
121. Condense fast big fog
122. Purify clean fresh water
123. Pollute dirty big river
124. Cleanse pure old soap
125. Wash dirty small cloth
126. Dry hot big towel
127. Iron smooth old fabric
128. Fold neat little paper
129. Crease sharp big line
130. Wrinkle old small face
131. Smooth rough big skin
132. Soften hard old leather
133. Harden slow big metal
134. Sharpen dull old knife
135. Dull sharp big blade
136. Polish bright small jewel
137. Buff smooth old wood
138. Sand rough big stone
139. Carve delicate little figure
140. Sculpt beautiful big statue
141. Paint colorful small picture
142. Draw quick sharp line
143. Color bright big box
144. Shade dark small area
145. Brighten fast big room
146. Illuminate slow old lamp
147. Reflect sharp big mirror
148. Refract slow small prism
149. Focus sharp big lens
150. Blur slow old camera
151. Develop quick big film
152. Print clear small text
153. Copy exact big document
154. Scan quick small code
155. Upload fast big file
156. Download slow small data
157. Save secure big password
158. Protect safe little secret
159. Lock strong big door
160. Unlock slow small key
161. Open wide big window
162. Close tight small lid
163. Fasten secure big buckle
164. Loosen slow small screw
165. Tighten hard big bolt
166. Relax calm old muscle
167. Tense hard big nerve
168. Stretch long flexible spine
169. Bend slow stiff joint
170. Twist sharp big wrench
171. Turn slow small handle
172. Press hard big button
173. Click quick sharp mouse
174. Tap light small screen
175. Swipe fast big finger
176. Pinch small sharp claw
177. Grip strong big fist
178. Release slow small bird
179. Free happy little animal
180. Capture quick sharp photo
181. Record long big video
182. Play fun little game
183. Pause slow big moment
184. Stop hard big engine
185. Start fast big car
186. Accelerate quick sharp turn
187. Brake slow big wheel
188. Steer sharp big ship
189. Navigate complex old map
190. Explore new big world
191. Discover hidden small treasure
192. Invent creative little device
193. Improve slow big process
194. Optimize fast small system
195. Streamline smooth big operation
196. Reinforce strong big structure
197. Support heavy big load
198. Stabilize slow small balance
199. Energize quick big energy
200. Motivate happy little team
