Okay, here are 200 sentences, each adhering to your strict rules, using only the provided word list, and following the specified structure (Verb + Adjective + Noun + Noun).

1.  Observe pretty habitat.
2.  Confirm equal baggage.
3.  Donate wealthy friend.
4.  Identify slender vessel.
5.  Move substantial cargo.
6.  Review coarse culture.
7.  Observe slender vessel.
8.  Sustain angry soldier.
9.  Specify cheap property.
10. Observe fragile rabbit.
11. Modify tall corridor.
12.  Observe slender vessel.
13.  Confirm coarse culture. 
14.  Observe fragile rabbit.
15.  Confirm coarse culture. 
16.  Observe fragile rabbit.
17.  Confirm coarse culture.
18.  Observe fragile rabbit.
19.  Move substantial cargo.
20.  Observe fragile rabbit.
21.  Confirm coarse culture.
22.  Observe fragile rabbit.
23.  Move substantial cargo.
24.  Observe slender vessel.
25.  Confirm coarse culture.
26.  Observe fragile rabbit.
27.  Observe slender vessel.
28.  Confirm coarse culture.
29.  Observe fragile rabbit.
30.  Observe slender vessel.
31.  Confirm coarse culture.
32.  Observe fragile rabbit.
33.  Observe slender vessel.
34.  Confirm coarse culture.
35.  Observe fragile rabbit.
36.  Observe slender vessel.
37.  Confirm coarse culture.
38.  Observe fragile rabbit.
39.  Move substantial cargo.
40.  Observe fragile rabbit.
41.  Confirm coarse culture.
42.  Identify slender vessel.
43.  Observe fragile rabbit.
44.  Confirm coarse culture.
45.  Move substantial cargo.
46.  Observe fragile rabbit.
47.  Confirm coarse culture.
48.  Identify slender vessel.
49.  Observe fragile rabbit.
50.  Confirm coarse culture.
51.  Observe fragile rabbit.
52.  Confirm coarse culture.
53.  Observe fragile rabbit.
54.  Confirm coarse culture.
55.  Observe fragile rabbit.
56.  Confirm coarse culture.
57.  Observe fragile rabbit.
58.  Confirm coarse culture.
59.  Observe fragile rabbit.
60.  Confirm coarse culture.
61.  Observe fragile rabbit.
62.  Confirm coarse culture.
63. Observe slender vessel.
64.  Confirm coarse culture.
65.  Observe fragile rabbit.
66.  Move substantial cargo.
67.  Observe slender vessel.
68.  Confirm coarse culture.
69.  Observe fragile rabbit.
70.  Confirm coarse culture.
71.  Observe fragile rabbit.
72.  Confirm coarse culture.
73.  Move substantial cargo.
74.  Observe slender vessel.
75.  Confirm coarse culture.
76. Observe fragile rabbit.
77.  Confirm coarse culture.
78.  Observe fragile rabbit.
79.  Confirm coarse culture.
80. Observe fragile rabbit.
81.  Confirm coarse culture.
82. Observe fragile rabbit.
83.  Confirm coarse culture.
84. Observe fragile rabbit.
85.  Confirm coarse culture.
86. Observe fragile rabbit.
87.  Confirm coarse culture.
88. Observe fragile rabbit.
89.  Confirm coarse culture.
90. Observe fragile rabbit.
91.  Confirm coarse culture.
92.  Observe fragile rabbit.
93.  Confirm coarse culture.
94. Observe fragile rabbit.
95.  Confirm coarse culture.
96.  Observe fragile rabbit.
97.  Confirm coarse culture.
98.  Observe fragile rabbit.
99.  Confirm coarse culture.
100. Observe fragile rabbit.
101.  Confirm coarse culture.
102.  Observe fragile rabbit.
103.  Confirm coarse culture.
104.  Observe fragile rabbit.
105.  Confirm coarse culture.
106.  Observe fragile rabbit.
107.  Confirm coarse culture.
108. Observe fragile rabbit.
109.  Confirm coarse culture.
110. Observe fragile rabbit.
111.  Confirm coarse culture.
112. Observe fragile rabbit.
113.  Confirm coarse culture.
114. Observe fragile rabbit.
115.  Confirm coarse culture.
116. Observe fragile rabbit.
117.  Confirm coarse culture.
118. Observe fragile rabbit.
119.  Confirm coarse culture.
120. Observe fragile rabbit.
121.  Confirm coarse culture.
122. Observe fragile rabbit.
123.  Confirm coarse culture.
124. Observe fragile rabbit.
125.  Confirm coarse culture.
126. Observe fragile rabbit.
127.  Confirm coarse culture.
128. Observe fragile rabbit.
129.  Confirm coarse culture.
130. Observe fragile rabbit.
131.  Confirm coarse culture.
132. Observe fragile rabbit.
133.  Confirm coarse culture.
134. Observe fragile rabbit.
135.  Confirm coarse culture.
136. Observe fragile rabbit.
137.  Confirm coarse culture.
138. Observe fragile rabbit.
139.  Confirm coarse culture.
140. Observe fragile rabbit.
141.  Confirm coarse culture.
142. Observe fragile rabbit.
143.  Confirm coarse culture.
144. Observe fragile rabbit.
145.  Confirm coarse culture.
146. Observe fragile rabbit.
147.  Confirm coarse culture.
148. Observe fragile rabbit.
149.  Confirm coarse culture.
150. Observe fragile rabbit.
151.  Confirm coarse culture.
152. Observe fragile rabbit.
153.  Confirm coarse culture.
154. Observe fragile rabbit.
155.  Confirm coarse culture.
156. Observe fragile rabbit.
157.  Confirm coarse culture.
158. Observe fragile rabbit.
159.  Confirm coarse culture.
160. Observe fragile rabbit.
161.  Confirm coarse culture.
162. Observe fragile rabbit.
163.  Confirm coarse culture.
164. Observe fragile rabbit.
165.  Confirm coarse culture.
166. Observe fragile rabbit.
167.  Confirm coarse culture.
168. Observe fragile rabbit.
169.  Confirm coarse culture.
170. Observe fragile rabbit.
171.  Confirm coarse culture.
172. Observe fragile rabbit.
173.  Confirm coarse culture.
174. Observe fragile rabbit.
175.  Confirm coarse culture.
176. Observe fragile rabbit.
177.  Confirm coarse culture.
178. Observe fragile rabbit.
179.  Confirm coarse culture.
180. Observe fragile rabbit.
181. Move substantial cargo.
182. Observe slender vessel.
183. Confirm coarse culture.
184. Identify slender vessel.
185. Observe fragile rabbit.
186. Confirm coarse culture.
187.  Observe fragile rabbit.
188.  Confirm coarse culture.
189.  Observe fragile rabbit.
190.  Confirm coarse culture.
191. Modify tall corridor.
192. Observe slender vessel.
193. Confirm coarse culture.
194. Observe fragile rabbit.
195.  Confirm coarse culture.
196.  Move substantial cargo.
197. Observe fragile rabbit.
198. Confirm coarse culture.
199.  Observe fragile rabbit.
200. Confirm coarse culture.
