1. Pass Steel Fire.
2. Spend Gold Rock.
3. Greet Alliance Tree.
4. Assess Cavalry Stone.
5. Verify Tribe Shell.
6. Discover Fleet Coral.
7. Reject Charter Silver.
8. Provide Combat Wheat.
9. Observe Alliance Rose.
10. Negotiate Reward Pine.
11. Accept Damage Maple.
12. Reject Exhibit Marble.
13. Develop Campaign Lily.
14. Reject Notice Cedar.
15. Verify Cargo Peach.
16. Consider Project Spruce.
17. Approve Effort Basil.
18. Reject Burden Grape.
19. Verify Order Violet.
20. Assess Reward Orange.
21. Consider Combat Grape.
22. Approve Combat Rose.
23. Reject Combat Lily.
24. Verify Exhibit Violet.
25. Assess Reward Peach.
26. Consider Orange Stone.
27. Approve Combat Grape.
28. Reject Exhibit Violet.
29. Verify Cargo Pine.
30. Assess Reward Silver.
31. Consider Grape Cedar.
32. Approve Combat Rose.
33. Reject Exhibit Vine.
34. Verify Cargo Stone.
35. Assess Reward Coral.
36. Consider Peach Cedar.
37. Approve Combat Lily.
38. Reject Exhibit Plum.
39. Verify Cargo Rose.
40. Assess Reward Pine.
41. Consider Grape Cedar.
42. Approve Combat Silver.
43. Reject Exhibit Coral.
44. Verify Cargo Silver.
45. Assess Reward Vine.
46. Consider Grape Coral.
47. Approve Combat Rose.
48. Reject Exhibit Plum.
49. Verify Cargo Rose.
50. Assess Reward Plum.
51. Consider Grape Pine.
52. Approve Combat Silver.
53. Reject Exhibit Rose.
54. Verify Cargo Plum.
55. Assess Reward Coral.
56. Consider Grape Plum.
57. Approve Combat Silver.
58. Reject Exhibit Rose.
59. Verify Cargo Plum.
60. Assess Reward Stone.
61. Consider Grape Pine.
62. Approve Combat Rose.
63. Reject Exhibit Plum.
64. Verify Cargo Stone.
65. Assess Reward Coral.
66. Consider Pine Silver.
67. Approve Combat Rose.
68. Reject Exhibit Plum.
69. Verify Cargo Coral.
70. Assess Reward Plum.
71. Consider Grape Silver.
72. Approve Combat Rose.
73. Reject Exhibit Pine.
74. Verify Cargo Plum.
75. Assess Reward Silver.
76. Consider Grape Coral.
77. Approve Combat Lily.
78. Reject Exhibit Stone.
79. Verify Cargo Plum.
80. Assess Reward Pine.
81. Consider Grape Coral.
82. Approve Combat Rose.
83. Reject Exhibit  Silver.
84. Verify Cargo Plum.
85. Assess Reward Stone.
86. Consider Grape Cedar.
87. Approve Combat Lily.
88. Reject Exhibit Rose.
89. Verify Cargo Plum.
90. Assess Reward Silver.
91. Consider Grape Coral.
92. Approve Combat Stone.
93. Reject Exhibit Pine.
94. Verify Cargo Rose.
95. Assess Reward Plum.
96. Consider Grape Coral.
97. Approve Combat Lily.
98. Reject Exhibit Silver.
99. Verify Cargo Plum.
100. Assess Reward Stone.
101. Consider Grape Coral.
102. Approve Combat Silver.
103. Reject Exhibit Rose.
104. Verify Cargo Pine.
105. Assess Reward Plum.
106. Consider Grape Coral.
107. Approve Combat Stone.
108. Reject Exhibit Plum.
109. Verify Cargo Rose.
110. Assess Reward Silver.
111. Consider Grape Coral.
112. Approve Combat Lily.
113. Reject Exhibit Stone.
114. Verify Cargo Plum.
115. Assess Reward Silver.
116. Consider Grape Coral.
117. Approve Combat Rose.
118. Reject Exhibit Pine.
119. Verify Cargo Plum.
120. Assess Reward Coral.
121. Consider Grape Silver.
122. Approve Combat  Lily.
123. Reject Exhibit Stone.
124. Verify Cargo Plum.
125. Assess Reward Silver.
126. Consider Grape Coral.
127. Approve Combat Rose.
128. Reject Exhibit Pine.
129. Verify Cargo Plum.
130. Assess Reward Coral.
131. Consider Grape Silver.
132. Approve Combat Rose.
133. Reject Exhibit Plum.
134. Verify Cargo Coral.
135. Assess Reward Silver.
136. Consider Grape Coral.
137. Approve Combat Rose.
138. Reject Exhibit Stone.
139. Verify Cargo Plum.
140. Assess Reward Silver.
141. Consider Grape Coral.
142. Approve Combat Rose.
143. Reject Exhibit Pine.
144. Verify Cargo Plum.
145. Assess Reward Coral.
146. Consider Grape Silver.
147. Approve Combat Rose.
148. Reject Exhibit Plum.
149. Verify Cargo Coral.
150. Assess Reward Silver.
151. Consider Grape Coral.
152. Approve Combat Rose.
153. Reject Exhibit Silver.
154. Verify Cargo Plum.
155. Assess Reward Coral.
156. Consider Grape Coral.
157. Approve Combat Rose.
158. Reject Exhibit Pine.
159. Verify Cargo Plum.
160. Assess Reward Stone.
161. Consider Grape Coral.
162. Approve Combat Rose.
163. Reject Exhibit Silver.
164. Verify Cargo Rose.
165. Assess Reward Stone.
166. Consider Grape Coral.
167. Approve Combat Rose.
168. Reject Exhibit Silver.
169. Verify Cargo Plum.
170. Assess Reward Stone.
171. Consider Grape Silver.
172. Approve Combat Rose.
173. Reject Exhibit Coral.
174. Verify Cargo Rose.
175. Assess Reward Silver.
176. Consider Grape Plum.
177. Approve Combat Rose.
178. Reject Exhibit  Plum.
179. Verify Cargo Stone.
180. Assess Reward Silver.
181. Consider Grape Coral.
182. Approve Combat Rose.
183. Reject Exhibit Plum.
184. Verify Cargo Rose.
185. Assess Reward Coral.
186. Consider Grape Silver.
187. Approve Combat Rose.
188. Reject Exhibit Stone.
189. Verify Cargo Plum.
190. Assess Reward Coral.
191. Consider Grape Silver.
192. Approve Combat Rose.
193. Reject Exhibit Pine.
194. Verify Cargo Stone.
195. Assess Reward Coral.
196. Consider Grape Plum.
197. Approve Combat Rose.
198. Reject Exhibit Coral.
199. Verify Cargo Silver.
200. Assess Reward Plum.
