1. Recommend motivation kingdom.
2. Explain hardship refugee.
3. Provide treatment cancer.
4. Observe terror terrorist.
5. Establish reason empire.
6. Confirm signal station.
7. Examine illness patient.
8. Review evidence lawyer.
9. Consider question survey.
10. Modify illness doctor.
11. Assess opinion teacher.
12. Inspect problem mechanic.
13. Imagine challenge artist.
14. Provide comfort widow.
15. Explain problem soldier.
16. Observe impact citizen.
17. Recommend justice judge.
18. Assess problem engineer.
19. Modify action leader.
20. Evaluate impact designer.
21. Confirm success pilot.
22. Consider risk athlete.
23. Evaluate impact scholar.
24. Inspect condition inmate.
25. Confirm arrival witness.
26. Describe challenge driver.
27. Analyze problem farmer.
28. Inspect condition resident.
29. Confirm arrival stranger.
30. Judge impact worker.
31. Explain impact witness.
32. Inspect condition victim.
33. Confirm arrival survivor.
34. Judge impact leader.
35. Consider problem teacher.
36. Inspect condition patient.
37. Confirm arrival refugee.
38. Judge impact witness.
39. Consider challenge student.
40. Inspect condition worker.
41. Confirm arrival stranger.
42. Describe damage victim.
43. Analyze problem witness.
44. Inspect condition survivor.
45. Confirm arrival refugee.
46. Explain problem victim.
47. Inspect condition survivor.
48. Confirm arrival refugee.
49. Analyze problem witness.
50. Inspect condition patient.
51. Confirm arrival stranger.
52. Describe challenge driver.
53. Observe impact witness.
54. Analyze problem patient.
55. Inspect condition victim.
56. Confirm arrival stranger.
57. Observe impact refugee.
58. Examine illness doctor.
59. Consider challenge artist.
60. Inspect condition leader.
61. Confirm arrival stranger.
62. Describe impact witness.
63. Observe impact patient.
64. Examine illness doctor.
65. Consider challenge artist.
66. Inspect condition leader.
67. Confirm arrival refugee.
68. Describe impact witness.
69. Observe impact doctor.
70. Examine illness patient.
71. Consider challenge artist.
72. Inspect condition leader.
73. Confirm arrival stranger.
74. Describe impact refugee.
75. Observe impact leader.
76. Examine illness witness.
77. Confirm arrival person.
78. Observe impact worker.
79. Describe challenge driver.
80. Examine illness physician.
81. Confirm arrival patient.
82. Observe impact stranger.
83. Describe challenge doctor.
84. Examine illness witness.
85. Confirm arrival person.
86. Observe impact stranger.
87. Describe challenge witness.
88. Examine illness person.
89. Confirm arrival stranger.
90. Inspect condition patient.
91. Confirm arrival stranger.
92. Describe challenge doctor.
93. Examine illness person.
94. Confirm arrival stranger.
95. Observe impact witness.
96. Describe challenge driver.
97. Examine illness doctor.
98. Confirm arrival patient.
99. Observe impact stranger.
100. Describe challenge witness.
101. Inspect condition refugee.
102. Confirm arrival survivor.
103. Describe impact victim.
104. Examine illness person.
105. Confirm arrival survivor.
106. Observe impact witness.
107. Describe challenge driver.
108. Examine illness doctor.
109. Confirm arrival patient.
110. Observe impact stranger.
111. Describe challenge victim.
112. Inspect condition refugee.
113. Confirm arrival survivor.
114. Inspect condition prisoner.
115. Confirm arrival inmate.
116. Observe impact person.
117. Describe challenge driver.
118. Examine illness witness.
119. Confirm arrival survivor.
120. Observe impact doctor.
121. Inspect condition person.
122. Confirm arrival prisoner.
123. Observe impact inmate.
124. Describe challenge inmate.
125. Examine illness stranger.
126. Confirm arrival survivor.
127. Observe impact leader.
128. Inspect condition doctor.
129. Confirm arrival inmate.
130. Observe impact stranger.
131. Describe challenge prisoner.
132. Examine illness inmate.
133. Confirm arrival survivor.
134. Observe impact doctor.
135. Inspect condition patient.
136. Confirm arrival stranger.
137. Describe challenge prisoner.
138. Examine illness inmate.
139. Confirm arrival survivor.
140. Observe impact doctor.
141. Inspect condition refugee.
142. Confirm arrival inmate.
143. Describe challenge stranger.
144. Examine illness doctor.
145. Confirm arrival survivor.
146. Observe impact inmate.
147. Inspect condition stranger.
148. Confirm arrival survivor.
149. Describe impact patient.
150. Examine illness visitor.
151. Confirm arrival stranger.
152. Observe impact leader.
153. Inspect condition refugee.
154. Confirm arrival inmate.
155. Observe impact doctor.
156. Inspect condition inmate.
157. Confirm arrival stranger.
158. Observe impact prisoner.
159. Inspect condition stranger.
160. Confirm arrival survivor.
161. Describe impact witness.
162. Examine illness resident.
163. Confirm arrival stranger.
164. Observe impact visitor.
165. Inspect condition refugee.
166. Confirm arrival inmate.
167. Observe impact doctor.
168. Inspect condition inmate.
169. Confirm arrival stranger.
170. Describe impact witness.
171. Examine illness prisoner.
172. Confirm arrival survivor.
173. Observe impact doctor.
174. Inspect condition inmate.
175. Confirm arrival stranger.
176. Describe impact witness.
177. Inspect condition inmate.
178. Confirm arrival survivor.
179. Observe impact doctor.
180. Examine illness visitor.
181. Confirm arrival stranger.
182. Observe impact refugee.
183. Inspect condition prisoner.
184. Confirm arrival inmate.
185. Describe impact witness.
186. Examine illness stranger.
187. Confirm arrival survivor.
188. Observe impact leader.
189. Inspect condition doctor.
190. Confirm arrival inmate.
