Here are 200 sentences following your rules:

1.  Move  tall  car  country
2.  Inspect  strange  ship  country
3.  Relieve  brown  car  country
4.  Sustain  ten  desk  country
5.  Offer  new  car  country
6.  Know  large  ship  country
7.  Treat  equal  house  country
8.  Invite  cheap  car  country
9.  Feed  useful  ship  country
10.  Relieve  wide  car  country
11.  Inspect  small  ship  country
12.  Sustain  large  car  country
13.  Offer  white  ship  country
14.  Know  quick  car  country
15.  Treat  clear  ship  country
16.  Invite  brief  car  country
17.  Feed  old  ship  country
18.  Relieve  cold  car  country
19.  Inspect  green  ship  country
20.  Sustain  rare  car  country
21.  Offer  heavy  ship  country
22.  Know  silent  car  country
23.  Treat  dark  ship  country
24.  Invite  clean  car  country
25.  Feed  happy  ship  country
26.  Relieve  fast  car  country
27.  Inspect  young  ship  country
28.  Sustain  sharp  car  country
29.  Offer  basic  ship  country
30.  Know  bright  car  country
31.  Treat  pure  ship  country
32.  Invite  final  car  country
33.  Feed  small  ship  country
34.  Relieve  heavy  car  country
35.  Inspect  exact  ship  country
36.  Sustain  rigid  car  country
37.  Offer  loose  ship  country
38.  Know  dense  car  country
39.  Treat  rigid  ship  country
40.  Invite  brief  car  country
41.  Feed  quiet  ship  country
42.  Relieve  strange  car  country
43.  Inspect  dense  ship  country
44.  Sustain  rigid  car  country
45.  Offer  slow  ship  country
46.  Know  large  car  country
47.  Treat  sharp  ship  country
48.  Invite  basic  car  country
49.  Feed  tough  ship  country
50.  Relieve  quick  car  country
51.  Inspect  vast  ship  country
52.  Sustain  dense  car  country
53.  Offer  loose  ship  country
54.  Know  quick  car  country
55.  Treat  gentle  ship  country
56.  Invite  final  car  country
57.  Feed  rigid  ship  country
58.  Relieve  slow  car  country
59.  Inspect  silent  ship  country
60.  Sustain  brief  car  country
61.  Offer  dense  ship  country
62.  Know  final  car  country
63.  Treat  rigid  ship  country
64.  Invite  gentle  car  country
65.  Feed  sharp  ship  country
66.  Relieve  brief  car  country
67.  Inspect  dense  ship  country
68.  Sustain  silent  car  country
69.  Offer  rigid  ship  country
70.  Know  gentle  car  country
71.  Treat  final  ship  country
72.  Invite  slow  car  country
73.  Feed  rigid  ship  country
74.  Relieve  gentle  car  country
75.  Inspect  final  ship  country
76.  Sustain  silent  car  country
77.  Offer  rigid  ship  country
78.  Know  gentle  car  country
79.  Treat  final  ship  country
80.  Invite  sharp  car  country
81.  Feed  rigid  ship  country
82.  Relieve  quick  car  country
83.  Inspect  gentle  ship  country
84.  Sustain  final  car  country
85.  Offer  silent  ship  country
86.  Know  sharp  car  country
87.  Treat  rigid  ship  country
88.  Invite  gentle  car  country
89.  Feed  quick  ship  country
90.  Relieve  silent  car  country
91.  Inspect  rigid  ship  country
92.  Sustain  gentle  car  country
93.  Offer  final  ship  country
94.  Know  sharp  car  country
95.  Treat  final  ship  country
96.  Invite  rigid  car  country
97.  Feed  gentle  ship  country
