1. Administrator assess academic accomplishment.
2. Absolutely careful army arrive.
3. Bible advocate affirm bravely.
4. Catholic clergy assemble calmly.
5. Christmas carefully consider ability.
6. Democrat offer assistance always.
7. French army accept challenge.
8. Hispanic farmer deliver package.
9. Iraqi family celebrate weekend.
10. Israeli leader announce policy.
11. Jewish scholar confirm theories.
12. Mr. banker observe carefully.
13. OK pastor welcome everyone.
14. PM advise carefully always.
15. Roman warrior attack bravely.
16. Spanish citizen admire calmly.
17. Thanksgiving declare carefully.
18. Ability enable athlete accept.
19. Above accurate answer always.
20. Absolutely certain army arrive.
21. Academic challenge accept bravely.
22. Acceptable answer always affirm.
23. Accident avoid careful always.
24. Accomplishment deserve careful praise.
25. Accounting accurately assess always.
26. Accusation challenge confirm bravely.
27. Acid destroy carefully always.
28. Across ancient army assemble.
29. Actively administer carefully always.
30. Actress admire carefully always.
31. Adapt carefully always follow.
32. Additional evidence affirm always.
33. Adjustment confirm wisely always.
34. Administrator approve calmly always.
35. Adolescent admire carefully always.
36. Advance carefully consider always.
37. Advertising display bravely always.
38. Advocate admire carefully always.
39. Afford carefully consider always.
40. Afterward admire carefully always.
41. Agency confirm wisely always.
42. Aggressive army attack bravely.
43. Agricultural farmer deliver package.
44. Aid carefully consider always.
45. Aircraft administer carefully always.
46. Aisle admire carefully always.
47. Alien advocate confirm wisely.
48. Allegation confirm wisely always.
49. Alliance admire carefully always.
50. Alone admire carefully always.
51. Also admire carefully always.
52. Altogether admire carefully always.
53. Ambassador carefully consider always.
54. Amendment carefully consider always.
55. Analysis confirm wisely always.
56. Ancient army advance bravely.
57. Anger confirm wisely always.
58. Ankle admire carefully always.
59. Annual advocate confirm wisely.
60. Answer carefully consider always.
61. Anything admire carefully always.
62. Apartment admire carefully always.
63. Appearance carefully consider wisely.
64. Appoint carefully consider always.
65. Approach carefully consider wisely.
66. Approximately admire carefully always.
67. Area carefully consider wisely.
68. Arise carefully consider always.
69. Army admire carefully always.
70. Array carefully consider always.
71. Arrow admire carefully always.
72. Artifact admire carefully always.
73. As admire carefully always.
74. Asleep admire carefully always.
75. Assemble carefully consider always.
76. Assessment confirm always wisely.
77. Assist carefully consider always.
78. Associated admire carefully always.
79. Assure carefully consider always.
80. Athletic champion admire bravely.
81. Attack carefully consider always.
82. Attention carefully consider always.
83. Attraction carefully consider wisely.
84. Audience admire carefully always.
85. Authorize carefully consider always.
86. Automobile admire carefully always.
87. Average carefully consider always.
88. Award carefully consider wisely.
89. Awful admire carefully always.
90. Backyard admire carefully always.
91. Bag admire carefully always.
92. Ball admire carefully always.
93. Banana admire carefully always.
94. Banking confirm always wisely.
95. Barely admire carefully always.
96. Base admire carefully always.
97. Basically admire carefully always.
98. Bastion admire carefully always.
99. Battery admire carefully always.
100. Beach admire carefully always.
101. Beard admire carefully always.
102. Beauty carefully consider wisely.
103. Bedroom admire carefully always.
104. Before admire carefully always.
105. Behold admire carefully always.
106. Behind admire carefully always.
107. Bell admire carefully always.
108. Belt admire carefully always.
109. Benefit carefully consider wisely.
110. Bet admire carefully always.
111. Bias admire carefully always.
112. Bike admire carefully always.
113. Biography admire carefully always.
114. Birth admire carefully always.
115. Bite admire carefully always.
116. Blame admire carefully always.
117. Blend admire carefully always.
118. Blink admire carefully always.
119. Bloody admire carefully always.
120. Boast admire carefully always.
121. Bold admire carefully always.
122. Bond admire carefully always.
123. Boom admire carefully always.
124. Border admire carefully always.
125. Boss admire carefully always.
126. Bottom admire carefully always.
127. Bowl admire carefully always.
128. Brain admire carefully always.
129. Brave admire carefully always.
130. Breakfast admire carefully always.
131. Breathing admire carefully always.
132. Bridge admire carefully always.
133. Brilliant admire carefully always.
134. Broken admire carefully always.
135. Brown admire carefully always.
136. Buck admire carefully always.
137. Bug admire carefully always.
138. Bulb admire carefully always.
139. Bunch admire carefully always.
140. Burning admire carefully always.
141. Bush admire carefully always.
142. But admire carefully always.
143. Button admire carefully always.
144. Cab admire carefully always.
145. Cage admire carefully always.
146. Calendar admire carefully always.
147. Camp admire carefully always.
148. Cancer admire carefully always.
149. Canvas admire carefully always.
150. Capacity admire carefully always.
151. Car admire carefully always.
152. Care admire carefully always.
153. Cargo admire carefully always.
154. Carry admire carefully always.
155. Case admire carefully always.
156. Casual admire carefully always.
157. Catch admire carefully always.
158. Cave admire carefully always.
159. Celebration admire carefully always.
160. Center admire carefully always.
161. Certain admire carefully always.
162. Chairman admire carefully always.
163. Championship admire always.
164. Channel admire carefully always.
165. Characteristic admire carefully always.
166. Charm admire carefully always.
167. Cheap admire carefully always.
168. Cheer admire carefully always.
169. Chemistry admire carefully always.
170. Chief admire carefully always.
171. Chin admire carefully always.
172. Cholesterol admire carefully always.
173. Chunk admire carefully always.
174. Circuit admire carefully always.
175. Citizen admire carefully always.
176. Civil admire carefully always.
177. Class admire carefully always.
178. Classroom admire carefully always.
179. Clearly admire carefully always.
180. Cliff admire carefully always.
181. Clinic admire carefully always.
182. Clone admire carefully always.
183. Closer admire carefully always.
184. Clothes admire carefully always.
185. Clue admire carefully always.
186. Coal admire carefully always.
187. Coat admire carefully always.
188. Cognitive admire carefully always.
189. Collapse admire carefully always.
190. Collection admire carefully always.
191. Colonial admire carefully always.
192. Column admire carefully always.
193. Combine admire carefully always.
194. Comfort admire carefully always.
195. Commander admire carefully always.
196. Commissioner admire carefully always.
197. Commodity admire carefully always.
198. Communication admire carefully always.
199. Comparable admire carefully always.
200. Compelling admire carefully always.
