1. Recently, lawyer condemn those.
2. Subsequently, pilot inspect taxi.
3. Certainly, supervisor authorize farmer.
4. Furthermore, economist analyze stock.
5. Clearly, physician diagnose infant.
6. Honestly, engineer modify cable.
7. Basically, soldier conduct training.
8. Actually, artist paint canvas.
9. Certainly, teacher educate teenager.
10. Slowly, manager assess project.
11. Certainly, administrator review database.
12. Actually, reporter interview speaker.
13. Gradually, farmer harvest soybean.
14. Generally, inspector examine vessel.
15. Specifically, accountant analyze budget.
16. Regularly, doctor examine patient.
17. Effectively, technician repair device.
18. Precisely, scientist observe culture.
19. Consequently, manager evaluate team.
20. Undoubtedly, referee declare game.
21. Honestly, veteran describe combat.
22. Effectively, artist examine sculpture.
23. Carefully, farmer inspect field.
24. Gradually, technician assemble machine.
25. Gradually, inspector inspect cargo.
26. Completely, athlete win championship.
27. Definitely, teacher evaluate lesson.
28. Honestly, journalist interview official.
29. Carefully, farmer inspect harvest.
30. Gradually, technician maintain system.
31. Completely, athlete inspect stadium.
32. Honestly, journalist interview witness.
33. Carefully, farmer inspect crops.
34. Gradually, technician review data.
35. Completely, athlete inspect team.
36. Honestly, journalist interview subject.
37. Carefully, farmer inspect soil.
38. Gradually, technician debug software.
39. Completely, athlete inspect competition.
40. Honestly, journalist interview expert.
41. Carefully, farmer inspect plant.
42. Gradually, technician install hardware.
43. Completely, athlete inspect event.
44. Honestly, journalist interview reporter.
45. Carefully, farmer inspect livestock.
46. Gradually, technician test circuit.
47. Completely, athlete inspect game.
48. Honestly, journalist interview person.
49. Carefully, farmer inspect orchard.
50. Gradually, technician maintain tool.
51. Completely, athlete inspect team.
52. Seriously, judge condemn crime.
53. Clearly, lawyer condemn defendant.
54. Definitely, politician debate issue.
55. Honestly, lawyer examine case.
56. Seriously, lawyer defend client.
57. Honestly, lawyer analyze evidence.
58. Seriously, politician debate policy.
59. Honestly, lawyer review contract.
60. Seriously, politician debate public.
61. Honestly, lawyer inspect document.
62. Seriously, politician debate position.
63. Honestly, lawyer check detail.
64. Seriously, politician debate argument.
65. Honestly, lawyer examine witness.
66. Seriously, politician debate opinion.
67. Honestly, lawyer assess risk.
68. Seriously, politician debate stance.
69. Honestly, lawyer present evidence.
70. Seriously, politician debate strategy.
71. Honestly, lawyer question witness.
72. Seriously, politician debate leadership.
73. Honestly, lawyer review testimony.
74. Seriously, politician debate platform.
75. Honestly, lawyer investigate suspect.
76. Seriously, politician debate agenda.
77. Honestly, lawyer check procedure.
78. Seriously, politician debate strategy.
79. Honestly, lawyer search document.
80. Definitely, judge condemn offender.
81. Honestly, lawyer present argument.
82. Actually, farmer inspect harvest.
83. Honestly, lawyer analyze statement.
84. Seriously, lawyer examine report.
85. Honestly, lawyer assess liability.
86. Actually, farmer inspect animals.
87. Actually, worker assemble product.
88. Seriously, lawyer investigate damage.
89. Actually, engineer inspect design.
90. Honestly, lawyer review agreement.
91. Actually, craftsman inspect item.
92. Actually, technician assemble tool.
93. Actually, worker inspect quality.
94. Honestly, lawyer examine client.
95. Actually, craftsman inspect craft.
96. Actually, technician assemble system.
97. Actually, worker inspect process.
98. Honestly, lawyer examine witness.
99. Actually, craftsman inspect work.
100. Actually, technician assemble device.
101. Actually, worker inspect results.
102. Honestly, lawyer examine case.
103. Actually, craftsman inspect material.
104. Actually, technician assemble component.
105. Actually, worker inspect project.
106. Honestly, lawyer examine data.
107. Actually, craftsman inspect product.
108. Actually, technician assemble circuit.
109. Actually, worker inspect plan.
110. Honestly, lawyer examine statement.
111. Actually, craftsman inspect design.
