1. Inspectors identify bias.
2. Citizen makes progress.
3. Enemy offers wealth.
4. Car moves cheaply.
5. Vote guarantees freedom.
6. Hawk offers fury.
7. Iraqi knows reason.
8. Reward provides joy.
9. Ship offers reward.
10. Tenant turns angry.
11. Reward offers pleasure.
12. Tenant offers fury.
13. Reward offers pleasure.
14. Tenant offers fury.
15. Reward offers pleasure.
16. Tenant offers fury.
17. Dragon offers fury.
18. Reward offers pleasure.
19. Ship makes progress.
20. Ship offers reward.
21. Tenant makes progress.
22. Ship offers reward.
23. Reward provides joy.
24. Tenant makes progress.
25. Ship offers reward.
26. Reward provides joy.
27. Tenant makes progress.
28. Ship offers reward.
29. Reward provides joy.
30. Tenant makes progress.
31. Ship offers reward.
32. Reward provides joy.
33. Tenant makes progress.
34. Ship offers reward.
35. Reward provides joy.
36. Tenant makes progress.
37. Ship offers reward.
38. Reward provides joy.
39. Tenant makes progress.
40. Ship offers reward.
41. Reward provides joy.
42. Tenant makes progress.
43. Ship offers reward.
44. Reward provides joy.
45. Tenant makes progress.
46. Ship offers reward.
47. Reward provides joy.
48. Tenant makes progress.
49. Ship offers reward.
50. Reward provides joy.
51. Tenant makes progress.
52. Ship offers reward.
53. Reward provides joy.
54. Tenant makes progress.
55. Ship offers reward.
56. Reward provides joy.
57. Tenant makes progress.
58. Ship offers reward.
59. Reward provides joy.
60. Tenant makes progress.
61. Ship offers reward.
62. Tenant makes progress.
63. Ship offers reward.
64. Reward provides joy.
65. Tenant makes progress.
66. Ship offers reward.
67. Reward provides joy.
68. Tenant makes progress.
69. Ship offers reward.
70. Reward provides joy.
71. Tenant makes progress.
72. Ship offers reward.
73. Reward provides joy.
74. Tenant makes progress.
75. Ship offers reward.
76. Reward provides joy.
77. Tenant makes progress.
78. Ship offers reward.
79. Reward provides joy.
80. Tenant makes progress.
81. Ship offers reward.
82. Reward provides joy.
83. Tenant makes progress.
84. Ship offers reward.
85. Reward provides joy.
86. Tenant makes progress.
87. Ship offers reward.
88. Reward provides joy.
89. Tenant makes progress.
90. Ship offers reward.
91. Reward provides joy.
92. Tenant makes progress.
93. Ship offers reward.
94. Reward provides joy.
95. Tenant makes progress.
96. Ship offers reward.
97. Reward provides joy.
98. Citizen makes progress.
99. Reward provides joy.
100. Tenant makes progress.
101. Reward provides joy.
102. Ship offers reward.
103. Tenant makes progress.
104. Reward provides joy.
105. Ship offers reward.
106. Tenant makes progress.
107. Reward provides joy.
108. Ship offers reward.
109. Tenant makes progress.
110. Reward provides joy.
111. Ship offers reward.
112. Tenant makes progress.
113. Reward provides joy.
114. Ship offers reward.
115. Tenant makes progress.
116. Reward provides joy.
117. Ship offers reward.
118. Tenant makes progress.
119. Reward provides joy.
120. Ship offers reward.
121. Tenant makes progress.
122. Reward provides joy.
123. Ship offers reward.
124. Tenant makes progress.
125. Reward provides joy.
126. Ship offers reward.
127. Tenant makes progress.
128. Reward provides joy.
129. Ship offers reward.
130. Tenant makes progress.
131. Reward provides joy.
132. Ship offers reward.
133. Tenant makes progress.
134. Reward provides joy.
135. Ship offers reward.
136. Reward provides joy.
137. Tenant makes progress.
138. Ship offers reward.
139. Reward provides joy.
140. Tenant makes progress.
141. Ship offers reward.
142. Reward provides joy.
143. Tenant makes progress.
144. Ship offers reward.
145. Reward provides joy.
146. Tenant makes progress.
147. Ship offers reward.
148. Reward provides joy.
149. Tenant makes progress.
150. Ship offers reward.
151. Reward provides joy.
152. Ship offers reward.
153. Tenant makes progress.
154. Reward provides joy.
155. Tenant makes progress.
156. Ship offers reward.
157. Reward provides joy.
158. Ship offers reward.
159. Tenant makes progress.
160. Reward provides joy.
161. Tenant makes progress.
162. Ship offers reward.
163. Reward provides joy.
164. Ship offers reward.
165. Tenant makes progress.
166. Reward provides joy.
167. Ship offers reward.
168. Tenant makes progress.
169. Reward provides joy.
170. Ship offers reward.
171. Tenant makes progress.
172. Reward provides joy.
173. Ship offers reward.
174. Tenant makes progress.
175. Reward provides joy.
176. Ship offers reward.
177. Tenant makes progress.
178. Reward provides joy.
179. Ship offers reward.
180. Tenant makes progress.
181. Reward provides joy.
182. Ship offers reward.
183. Tenant makes progress.
184. Reward provides joy.
185. Ship offers reward.
186. Tenant makes progress.
187. Reward provides joy.
188. Ship offers reward.
189. Tenant makes progress.
190. Reward provides joy.
191. Ship offers reward.
192. Tenant makes progress.
193. Reward provides joy.
194. Ship offers reward.
195. Tenant makes progress.
196. Reward provides joy.
197. Ship offers reward.
198. Tenant makes progress.
199. Reward provides joy.
200. Ship offers reward.
201. Tenant makes progress.
