Okay, here are 200 sentences following your rules, constructed entirely from the provided word list and adhering to the specified structure:

1.  Serve quickly rabbit ocean.
2.  Sell quietly painter village.
3.  Ride frankly parade timber.
4.  Speak gently shark summer.
5.  Throw bravely stadium stone.
6.  Write swiftly table silence.
7.  Teach freely stage table.
8.  Paint calmly picture river.
9.  Serve readily ocean winter.
10. Throw quietly table stone.
11. Ride deeply timber winter.
12. Listen freely stage table.
13. Paint sadly picture timber.
14. Listen sadly table window.
15. Paint frankly window winter.
16. Listen frankly stage ocean.
17. Paint readily window stone.
18. Listen deeply table summer.
19. Paint swiftly ocean tiger.
20. Listen bravely stage stone.
21. Paint calmly tiger tiger.
22. Listen bravely table ocean.
23. Paint gently tiger summer.
24. Listen frankly stone river.
25. Paint readily window winter.
26. Listen deeply table timber.
27. Paint swiftly tiger summer.
28. Listen bravely stage stone.
29. Paint calmly window winter.
30. Listen deeply stone summer.
31. Paint swiftly table tiger.
32. Listen bravely stage timber.
33. Paint calmly stage window.
34. Listen deeply table stone.
35. Paint swiftly tiger summer.
36. Listen bravely table winter.
37. Paint calmly stage window.
38. Listen deeply timber winter.
39. Paint swiftly tiger summer.
40. Listen bravely stage stone.
41. Paint calmly window tiger.
42. Listen deeply table stone.
43. Paint swiftly tiger summer.
44. Listen bravely stage timber.
45. Paint calmly ocean winter.
46. Listen deeply table stone.
47. Paint swiftly tiger summer.
48. Listen bravely stage timber.
49. Paint calmly window tiger.
50. Listen deeply stone winter.
51. Paint swiftly tiger summer.
52. Listen bravely stage timber.
53. Paint calmly ocean stone.
54. Listen deeply table window.
55. Paint swiftly tiger summer.
56. Listen bravely stage timber.
57. Paint calmly ocean stone.
58. Listen deeply table window.
59. Paint swiftly tiger winter.
60. Listen bravely stage timber.
61. Paint calmly tiger stone.
62. Listen deeply table summer.
63. Paint swiftly tiger winter.
64. Listen bravely stage winter.
65. Paint calmly stone river.
66. Listen deeply table window.
67. Paint swiftly tiger summer.
68. Listen bravely stage timber.
69. Paint calmly stone window.
70. Listen deeply table summer.
71. Paint swiftly tiger window.
72. Listen bravely stage winter.
73. Paint calmly summer stone.
74. Listen deeply table winter.
75. Paint swiftly tiger stone.
76. Listen bravely stage window.
77. Paint calmly winter stone.
78. Listen deeply table summer.
79. Paint swiftly tiger winter.
80. Listen bravely stage window.
81. Paint calmly summer stone.
82. Listen deeply table window.
83. Paint swiftly tiger winter.
84. Listen bravely stage summer.
85. Paint calmly tiger stone.
86. Listen deeply stone winter.
87. Paint swiftly tiger window.
88. Listen bravely stage summer.
89. Paint calmly stone winter.
90. Listen deeply table summer.
91. Paint swiftly tiger window.
92. Listen bravely stage summer.
93. Paint calmly stone window.
94. Listen deeply table winter.
95. Paint swiftly tiger window.
96. Listen bravely stage winter.
97. Paint calmly summer stone.
98. Listen deeply table stone.
99. Paint swiftly tiger winter.
100. Listen bravely stage window.
101. Paint calmly winter tiger.
102. Listen deeply table ocean.
103. Paint swiftly tiger window.
104. Listen bravely summer stone.
105. Paint calmly winter table.
106. Listen deeply stone river.
107. Paint swiftly window summer.
108. Listen bravely tiger window.
109. Paint calmly stone table.
110. Listen deeply winter summer.
111. Paint swiftly window tiger.
112. Listen bravely summer stone.
113. Paint calmly table window.
114. Listen deeply winter tiger.
115. Paint swiftly window river.
116. Listen bravely stone winter.
117. Paint calmly table tiger.
118. Listen deeply summer stone.
119. Paint swiftly winter table.
120. Listen bravely stone window.
