1. Believe benefit family
2. Notice abandon chance
3. Observe damage country
4. Accept damage nature
5. Ignore notice country
6. Ignore damage nature
7. Expect damage country
8. Allow damage nature
9. Enjoy damage country
10. Reject damage nature
11. Require damage family
12. Require damage family
13. Consider damage country
14. Ignore damage family
15. Notice damage country
16. Consider abandon family
17. Reject nation family
18. Observe abandon country
19. Accept nation family
20. Accept nation family
21. Reject nation abandon
22. Observe nation country
23. Notice refuse country
24. Reject refuse country
25. Allow refuse family
26. Observe nation family
27. Consider family country
28. Notice refuse nature
29. Consider abandon nature
30. Accept refuse family
31. Observe nature country
32. Expect refuse country
33. Allow nature country
34. Reject abandon family
35. Observe family nature
36. Expect abandon nation
37. Allow family country
38. Observe nature family
39. Consider abandon country
40. Reject refuse nature
41. Accept refuse family
42. Observe nation country
43. Notice abandon family
44. Consider refuse family
45. Accept nature country
46. Expect abandon country
47. Notice refuse family
48. Observe nature country
49. Expect abandon nature
50. Observe nation family
51. Reject refuse family
52. Accept abandon country
53. Notice nature country
54. Consider abandon family
55. Allow refuse nature
56. Expect abandon country
57. Observe country nature
58. Accept abandon family
59. Notice refuse country
60. Consider abandon nature
61. Reject abandon family
62. Accept nature country
63. Notice abandon country
64. Observe nation family
65. Allow refuse country
66. Accept nature country
67. Notice abandon nature
68. Observe country family
69. Accept refuse country
70. Notice abandon nature
71. Accept refuse family
72. Observe country nature
73. Accept abandon country
74. Consider refuse country
75. Reject abandon family
76. Observe nature country
77. Accept nation family
78. Notice nation family
79. Accept abandon country
80. Observe nature country
81. Notice refuse family
82. Accept abandon country
83. Observe family nature
84. Accept nation country
85. Notice refuse family
86. Observe abandon country
87. Accept country nature
88. Notice abandon family
89. Allow refuse country
90. Observe nature family
91. Accept abandon country
92. Consider refuse family
93. Notice country nature
94. Accept nation family
95. Observe abandon family
96. Allow refuse country
97. Accept nature family
98. Notice refuse country
99. Observe abandon country
100. Accept country nature
101. Notice refuse family
102. Observe abandon nature
103. Accept country family
104. Notice refuse country
105. Observe abandon family
106. Accept nation country
107. Consider abandon family
108. Notice refuse country
109. Observe abandon country
110. Accept nature family
111. Notice refuse country
112. Observe family nature
113. Accept nation country
114. Consider abandon country
115. Notice refuse family
116. Observe abandon country
117. Accept nature family
118. Notice refuse country
119. Observe family nature
120. Accept nation country
121. Consider abandon family
122. Notice reject nation
123. Observe family country
124. Accept nature family
125. Notice abandon country
126. Observe refuse family
127. Accept nation country
128. Consider abandon country
129. Notice reject nation
130. Observe country family
131. Accept abandon family
132. Notice abandon nation
133. Observe nature family
134. Accept refuse country
135. Notice country family
136. Observe reject nation
137. Accept abandon family
138. Observe nature family
139. Notice reject nature
140. Accept abandon country
141. Observe nation family
142. Notice reject family
143. Accept abandon country
144. Observe nature country
145. Notice reject family
146. Accept nation country
147. Observe refusal country
148. Notice refuse nation
149. Observe rejection family
150. Accept refuse family
151. Notice reject country
152. Observe nation family
153. Accept abandon family
154. Notice refuse country
155. Observe family nature
156. Accept nation family
157. Notice reject country
158. Observe nature country
159. Accept abandon family
160. Notice reject country
161. Observe nature family
162. Accept nation family
163. Observe nature country
164. Accept refuse family
165. Notice reject nation
166. Observe nation family
167. Accept refuse country
168. Notice reject nation
169. Observe family country
170. Accept nation family
171. Notice abandon country
172. Observe nature family
173. Accept refused country
174. Notice abandon family
175. Observe country family
176. Accept refuse country
177. Notice abandon family
178. Observe nation family
179. Accept refuse country
180. Notice reject nature
181. Observe country family
182. Accept nation country
183. Notice abandon country
184. Observe nature family
185. Accept refuse family
186. Notice abandon family
187. Observe nation family
188. Accept refuse country
189. Notice abandon family
190. Observe country nature
191. Accept refuse country
192. Notice abandon country
193. Observe nature family
194. Accept nation family
195. Notice abandon nation
196. Observe nation family
197. Accept refuse country
198. Notice abandon nature
199. Observe family country
200. Accept nation family
