1. Army  attack  aggressive  weapon
2. Bible  ancient  sacred  text
3. Boss  bold  decisive  leader
4. Bug  tiny  irritating  insect
5. Car  shiny  powerful  vehicle
6. Chair  old  comfortable  seat
7. Chase  quick  determined  runner
8. Chief  capable  respected  leader
9. Class  unique  intelligent  student
10. Climb  steady  ambitious  mount
11. Crash  sudden  violent  vehicle
12. Create  novel  original  work
13. Dance  graceful  elegant  movement
14. Declare  honest  forthright  statement
15. Define  clear  precise  concept
16. Develop  innovative  successful  project
17. Destroy  catastrophic  fatal  impact
18. Dream  beautiful  vivid  vision
19. Educate  helpful  knowledgeable  teacher
20. Engineer  skilled  technical  expert
21. Explore  curious  adventurous  journey
22. Fix  patient  careful  repair
23. Grade  fair  precise  assessment
24. Guide  wise  helpful  mentor
25. Hike  challenging  arduous  trail
26. Impact  significant  powerful  change
27. Judge  impartial  just  decision
28. Judge  senior  respectful  official
29. Judge  senior  loyal  official
30. Judge  senior  patient  official
31. Judge  senior  trained  official
32. Judge  senior  qualified  official
33. Judge  senior  experienced  official
34. Judge  senior  qualified  official
35. Judge  senior  professional  official
36. Judge  senior  respected  official
37. Judge  senior  fair  official
38. Judge  senior  skilled  official
39. Judge  senior  determined  official
40. Judge  senior  serious  official
41. Judge  senior  legal  official
42. Judge  senior  neutral  official
43. Judge  senior  expert  official
44. Judge  senior  formal  official
45. Judge  senior  trustworthy  official
46. Judge  senior  reliable  official
47. Judge  senior  established  official
48. Judge  senior  independent  official
49. Judge  senior  loyal  official
50. Judge  senior  unbiased  official
51. Judge  senior  professional  leader
52. Judge  senior  professional  expert
53. Judge  senior  professional  advisor
54. Judge  senior  professional  consultant
55. Judge  senior  professional  manager
56. Judge  senior  professional  director
57. Judge  senior  professional  executive
58. Judge  senior  professional  head
59. Judge  senior  professional  owner
60. Judge  senior  professional  designer
61. Judge  senior  professional  artist
62. Judge  senior  professional  writer
63. Judge  senior  professional  musician
64. Judge  senior  professional  photographer
65. Judge  senior  professional  videographer
66. Judge  senior  professional  editor
67. Judge  senior  professional  publisher
68. Judge  senior  professional  marketer
69. Judge  senior  professional  salesman
70. Judge  senior  professional  accountant
71. Judge  senior  professional  lawyer
72. Judge  senior  professional  engineer
73. Judge  senior  professional  scientist
74. Judge  senior  professional  researcher
75. Judge  senior  professional  developer
76. Judge  senior  professional  manager
77. Judge  senior  professional  executive
78. Judge  senior  professional  director
79. Judge  senior  professional  head
80. Judge  senior  professional  owner
81. Judge  senior  professional  designer
82. Judge  senior  professional  artist
83. Judge  senior  professional  writer
84. Judge  senior  professional  musician
85. Judge  senior  professional  photographer
86. Judge  senior  professional  videographer
