1. Turn, hostile, square, enemy
2. Relieve, superior, friend, vessel
3. Identify, bias, country, process
4. Guarantee, wealthy, place, action
5. Inspect, tall, row, reason
6. Modify, former, cycle, gesture
7. Offer, obvious, citizen, concept
8. Sustain, cheap, ship, service
9. Distinguish, bloody, desk, issue
10. Borrow, partial, bottle, reward
11. Adjust, relevant, game, insight
12. Criticize, anxious, truck, factor
13. Demand, decent, theme, target
14. Assume, similar, sword, problem
15. Inspect, evident, notion, subject
16. Distribute, adequate, aspect, effort
17. Provide, steady, impact, element
18. Permit, regular, gesture, problem
19. Distinguish, strange, system, answer
20. Assume, serious, vessel, request
21. Permit, specific, notion, target
22. Permit, unusual, vessel, request
23. Permit, clear, notion, target
24. Permit, perfect, notion, target
25. Permit, exact, notion, target
26. Distinguish, gentle, process, element
27. Assume, obvious, element, concern
28. Distinguish, stable, concern, effort
29. Assume, detailed, effort, problem
30. Distinguish, certain, problem, detail
31. Assume, complex, detail, action
32. Distinguish, specific, action, element
33. Assume, precise, element, action
34. Distinguish, complex, action, problem
35. Assume, adequate, problem, detail
36. Distinguish, simple, detail, concern
37. Assume, visible, concern, element
38. Distinguish, constant, element, issue
39. Assume, fragile, issue, action
40. Distinguish, flexible, action, detail
41. Assume, durable, detail, concern
42. Distinguish, sharp, concern, element
43. Assume, steady, element, action
44. Distinguish, robust, action, detail
45. Assume, relaxed, detail, concern
46. Distinguish, bright, concern, element
47. Assume, normal, element, action
48. Distinguish, clear, action, detail
49. Assume, steady, detail, concern
50. Distinguish, obvious, concern, element
51. Assume, relaxed, element, action
52. Distinguish, normal, action, detail
53. Assume, stable, detail, concern
54. Distinguish, precise, concern, element
55. Assume, flexible, element, action
56. Distinguish, constant, action, detail
57. Assume, relaxed, detail, concern
58. Distinguish, obvious, concern, element
59. Assume, normal, element, action
60. Distinguish, precise, action, detail
61. Assume, durable, detail, concern
62. Distinguish, normal, concern, element
63. Assume, flexible, element, action
64. Distinguish, precise, action, detail
65. Assume, stable, detail, concern
66. Distinguish, normal, concern, element
67. Assume, durable, element, action
68. Distinguish, obvious, action, detail
69. Assume, normal, detail, concern
70. Distinguish, precise, concern, element
71. Assume, stable, element, action
72. Distinguish, obvious, action, detail
73. Assume, normal, detail, concern
74. Distinguish, stable, concern, element
75. Assume, precise, element, action
76. Distinguish, obvious, action, detail
77. Assume, normal, detail, concern
78. Distinguish, stable, concern, element
79. Assume, obvious, element, action
80. Distinguish, stable, action, detail
81. Assume, obvious, detail, concern
82. Distinguish, stable, concern, element
83. Assume, stable, element, action
84. Distinguish, obvious, action, detail
85. Assume, obvious, detail, concern
86. Distinguish, stable, concern, element
87. Assume, stable, element, action
88. Distinguish, obvious, action, detail
89. Assume, obvious, detail, concern
90. Distinguish, stable, concern, element
91. Assume, obvious, element, action
92. Distinguish, stable, action, detail
93. Assume, obvious, detail, concern
94. Distinguish, stable, concern, element
95. Assume, obvious, element, action
96. Distinguish, stable, action, detail
97. Assume, obvious, detail, concern
98. Distinguish, stable, concern, element
99. Assume, obvious, element, action
100. Distinguish, stable, action, detail
101. Assume, obvious, detail, concern
102. Distinguish, stable, concern, element
103. Assume, obvious, element, action
104. Distinguish, stable, action, detail
105. Assume, obvious, detail, concern
106. Distinguish, stable, concern, element
107. Assume, obvious, element, action
108. Distinguish, stable, action, detail
109. Assume, obvious, detail, concern
110. Distinguish, stable, concern, element
111. Assume, obvious, element, action
112. Distinguish, stable, action, detail
113. Assume, obvious, detail, concern
114. Distinguish, stable, concern, element
115. Assume, obvious, element, action
116. Distinguish, stable, action, detail
117. Assume, obvious, detail, concern
118. Distinguish, stable, concern, element
119. Assume, obvious, element, action
120. Distinguish, stable, action, detail
