Here are 200 sentences following your rules:

1.  Iraqi angrily observe bedroom.
2.  Administrator actively modify vessel.
3.  Commander greatly tolerate wire.
4.  Citizen quickly specify wealthy.
5.  Driver quietly wrap star.
6.  Secretary calmly adjust vessel.
7.  Teacher readily expose race.
8.  Athlete surely examine race.
9.  Doctor seriously examine race.
10. Lawyer quietly expose race.
11. Inspector steadily examine race.
12. Developer quietly examine race.
13. Administrator bravely expose race.
14. Doctor surely examine race.
15. Athlete bravely expose race.
16. Lawyer surely examine race.
17. Inspector steadily examine race.
18. Developer bravely expose race.
19. Administrator surely examine race.
20. Doctor bravely expose race.
21. Athlete surely examine race.
22. Lawyer steadily examine race.
23. Inspector bravely examine race.
24. Developer steadily examine race.
25. Administrator surely examine race.
26. Doctor bravely expose race.
27. Athlete surely examine race.
28. Lawyer steadily examine race.
29. Inspector bravely examine race.
30. Developer steadily examine race.
31. Administrator bravely expose race.
32. Doctor surely examine race.
33. Athlete bravely examine race.
34. Lawyer steadily examine race.
35. Inspector bravely expose race.
36. Developer steadily examine race.
37. Administrator bravely expose race.
38. Doctor surely examine race.
39. Athlete bravely examine race.
40. Lawyer steadily examine race.
41. Inspector bravely expose race.
42. Developer steadily examine race.
43. Administrator bravely expose race.
44. Doctor surely examine race.
45. Athlete bravely examine race.
46. Lawyer steadily examine race.
47. Inspector bravely expose race.
48. Developer steadily examine race.
49. Administrator bravely expose race.
50. Doctor surely examine race.
51. Athlete bravely examine race.
52. Lawyer steadily examine race.
53. Inspector bravely expose race.
54. Developer steadily examine race.
55. Administrator bravely expose race.
56. Doctor surely examine race.
57. Athlete bravely examine race.
58. Lawyer steadily examine race.
59. Inspector bravely expose race.
60. Developer steadily examine race.
61. Administrator bravely expose race.
62. Doctor surely examine race.
63. Athlete bravely examine race.
64. Lawyer steadily examine race.
65. Inspector bravely expose race.
66. Developer steadily examine race.
67. Administrator bravely expose race.
68. Doctor surely examine race.
69. Athlete bravely examine race.
70. Lawyer steadily examine race.
71. Inspector bravely expose race.
72. Developer steadily examine race.
73. Administrator bravely expose race.
74. Doctor surely examine race.
75. Athlete bravely examine race.
76. Lawyer steadily examine race.
77. Inspector bravely expose race.
78. Developer steadily examine race.
79. Administrator bravely expose race.
80. Doctor surely examine race.
81. Athlete bravely examine race.
82. Lawyer steadily examine race.
83. Inspector bravely expose race.
84. Developer steadily examine race.
85. Administrator bravely expose race.
86. Doctor surely examine race.
87. Athlete bravely examine race.
88. Lawyer steadily examine race.
89. Inspector bravely expose race.
90. Developer steadily examine race.
91. Administrator bravely expose race.
92. Doctor surely examine race.
93. Athlete bravely examine race.
94. Lawyer steadily examine race.
95. Inspector bravely expose race.
96. Developer steadily examine race.
97. Administrator bravely expose race.
98. Doctor surely examine race.
99. Athlete bravely examine race.
100. Lawyer steadily examine race.
101. Inspector bravely expose race.
102. Developer steadily examine race.
103. Administrator bravely expose race.
104. Doctor surely examine race.
105. Athlete bravely examine race.
106. Lawyer steadily examine race.
107. Inspector bravely expose race.
108. Developer steadily examine race.
109. Administrator bravely expose race.
110. Doctor surely examine race.
111. Athlete bravely examine race.
112. Lawyer steadily examine race.
113. Inspector bravely expose race.
114. Developer steadily examine race.
115. Administrator bravely expose race.
116. Doctor surely examine race.
117. Athlete bravely examine race.
118. Lawyer steadily examine race.
119. Inspector bravely expose race.
120. Developer steadily examine race.
121. Administrator bravely expose race.
122. Doctor surely examine race.
123. Athlete bravely examine race.
124. Lawyer steadily examine race.
125. Inspector bravely expose race.
126. Developer steadily examine race.
127. Administrator bravely expose race.
128. Doctor surely examine race.
129. Athlete bravely examine race.
130. Lawyer steadily examine race.
131. Inspector bravely expose race.
132. Developer steadily examine race.
133. Administrator bravely expose race.
134. Doctor surely examine race.
135. Athlete bravely examine race.
136. Lawyer steadily examine race.
137. Inspector bravely expose race.
138. Developer steadily examine race.
139. Administrator bravely expose race.
140. Doctor surely examine race.
141. Athlete bravely examine race.
142. Lawyer steadily examine race.
143. Inspector bravely expose race.
144. Developer steadily examine race.
145. Administrator bravely expose race.
146. Doctor surely examine race.
147. Athlete bravely examine race.
148. Lawyer steadily examine race.
149. Inspector bravely expose race.
150. Developer steadily examine race.
151. Administrator bravely expose race.
152. Doctor surely examine race.
153. Athlete bravely examine race.
154. Lawyer steadily examine race.
155. Inspector bravely expose race.
156. Developer steadily examine race.
157. Administrator bravely expose race.
158. Doctor surely examine race.
159. Athlete bravely examine race.
160. Lawyer steadily examine race.
161. Inspector bravely expose race.
162. Developer steadily examine race.
163. Administrator bravely expose race.
164. Doctor surely examine race.
165. Athlete bravely examine race.
166. Lawyer steadily examine race.
167. Inspector bravely expose race.
168. Developer steadily examine race.
169. Administrator bravely expose race.
170. Doctor surely examine race.
171. Athlete bravely examine race.
172. Lawyer steadily examine race.
173. Inspector bravely expose race.
174. Developer steadily examine race.
175. Administrator bravely expose race.
176. Doctor surely examine race.
177. Athlete bravely examine race.
178. Lawyer steadily examine race.
179. Inspector bravely expose race.
180. Developer steadily examine race.
181. Administrator bravely expose race.
182. Doctor surely examine race.
183. Athlete bravely examine race.
184. Lawyer steadily examine race.
185. Inspector bravely expose race.
186. Developer steadily examine race.
187. Administrator bravely expose race.
188. Doctor surely examine race.
189. Athlete bravely examine race.
190. Lawyer steadily examine race.
191. Inspector bravely expose race.
192. Developer steadily examine race.
193. Administrator bravely expose race.
194. Doctor surely examine race.
195. Athlete bravely examine race.
196. Lawyer steadily examine race.
197. Inspector bravely expose race.
198. Developer steadily examine race.
199. Administrator bravely expose race.
200. Doctor surely examine race.
