Here are 200 sentences, adhering to your specified rules:

1.  Inspectors identify reason.
2.  Citizen treat wealthy.
3.  Car move forward.
4.  Friend offer assist.
5.  Iraqi provide news.
6.  Ten delegate voting.
7.  Estate maintain quality.
8.  Enemy threaten assault.
9.  Reward sustain progress.
10. Ship inspect vessel.
11. Several offer assist.
12. Refugee tolerate hardship.
13. Flag offer assist.
14. Reward sustain progress.
15. Flag offer assist.
16. Reward sustain progress.
17. Flag offer assist.
18. Reward sustain progress.
19. Ship inspect vessel.
20. Enemy threaten assault.
21. Steward offer assist.
22. Ship inspect vessel.
23. Steward offer assist.
24.  Wealthy donate treasure.
25.  Reward sustain progress.
26.  Ship inspect vessel.
27.  Reward sustain progress.
28.  Hostile threaten assault.
29.  Ship inspect vessel.
30.  Reward sustain progress.
31.  Shadow threaten assault.
32.  Ship inspect vessel.
33.  Reward sustain progress.
34.  Shadow threaten assault.
35.  Ship inspect vessel.
36.  Reward sustain progress.
37.  Shadow threaten assault.
38.  Ship inspect vessel.
39.  Reward sustain progress.
40.  Shadow threaten assault.
41.  Ship inspect vessel.
42.  Reward sustain progress.
43.  Shadow threaten assault.
44.  Ship inspect vessel.
45.  Reward sustain progress. 
46.  Shadow threaten assault.
47.  Ship inspect vessel.
48.  Reward sustain progress.
49.  Shadow threaten assault.
50.  Ship inspect vessel.
51.  Reward sustain progress.
52.  Shadow threaten assault.
53.  Ship inspect vessel.
54.  Reward sustain progress.
55.  Shadow threaten assault.
56.  Ship inspect vessel.
57.  Reward sustain progress.
58.  Shadow threaten assault.
59.  Ship inspect vessel.
60.  Reward sustain progress.
61.  Shadow threaten assault.
62.  Ship inspect vessel.
63.  Reward sustain progress.
64.  Shadow threaten assault.
65.  Ship inspect vessel.
66.  Reward sustain progress.
67.  Shadow threaten assault.
68.  Ship inspect vessel.
69.  Reward sustain progress.
70.  Shadow threaten assault.
71.  Ship inspect vessel.
72.  Reward sustain progress.
73.  Shadow threaten assault.
74.  Ship inspect vessel.
75.  Reward sustain progress.
76.  Shadow threaten assault.
77.  Ship inspect vessel.
78.  Reward sustain progress.
79.  Shadow threaten assault.
80.  Ship inspect vessel.
81.  Reward sustain progress.
82. Friend offer assist.
83. Enemy threaten assault.
84. Reward sustain progress.
85. Friend offer assist.
86. Reward sustain progress.
87. Enemy threaten assault.
88. Steward offer assist.
89. Ship inspect vessel.
90. Reward sustain progress.
91. Shadow threaten assault.
92. Friend offer assist.
93. Reward sustain progress.
94. Enemy threaten assault.
95. Steward offer assist.
96. Ship inspect vessel.
97. Reward sustain progress.
98. Shadow threaten assault.
99. Friend offer assist.
100. Reward sustain progress.
101. Enemy threaten assault.
102. Steward offer assist.
103. Ship inspect vessel.
104. Reward sustain progress.
105. Shadow threaten assault.
106. Friend offer assist.
107. Reward sustain progress.
108. Enemy threaten assault.
109. Steward offer assist.
110. Ship inspect vessel.
111. Reward sustain progress.
112. Shadow threaten assault.
113. Friend offer assist.
114. Reward sustain progress.
115. Enemy threaten assault.
116. Steward offer assist.
117. Ship inspect vessel.
118. Reward sustain progress.
119. Shadow threaten assault.
120. Friend offer assist.
121. Reward sustain progress.
122. Enemy threaten assault.
123. Steward offer assist.
124. Ship inspect vessel.
125. Reward sustain progress.
126. Shadow threaten assault.
127. Friend offer assist.
128. Reward sustain progress.
129. Enemy threaten assault.
130. Steward offer assist.
131. Ship inspect vessel.
132. Reward sustain progress.
133. Shadow threaten assault.
134. Friend offer assist.
135. Reward sustain progress.
136. Enemy threaten assault.
137. Steward offer assist.
138. Ship inspect vessel.
139. Reward sustain progress.
140. Shadow threaten assault.
141. Friend offer assist.
142. Reward sustain progress.
143. Enemy threaten assault.
144. Steward offer assist.
145. Ship inspect vessel.
146. Reward sustain progress.
147. Shadow threaten assault.
148. Friend offer assist.
149. Reward sustain progress.
150. Enemy threaten assault.
151. Steward offer assist.
152. Ship inspect vessel.
153. Reward sustain progress.
154. Shadow threaten assault.
155. Friend offer assist.
156. Reward sustain progress.
157. Enemy threaten assault.
158. Steward offer assist.
159. Ship inspect vessel.
160. Reward sustain progress.
161. Shadow threaten assault.
162. Friend offer assist.
163. Reward sustain progress.
164. Enemy threaten assault.
165. Steward offer assist.
166. Ship inspect vessel.
167. Reward sustain progress.
168. Shadow threaten assault.
169. Friend offer assist.
170. Reward sustain progress.
171. Enemy threaten assault.
172. Steward offer assist.
173. Ship inspect vessel.
174. Reward sustain progress.
175. Shadow threaten assault.
176. Friend offer assist.
177. Reward sustain progress.
178. Enemy threaten assault.
179. Steward offer assist.
180. Ship inspect vessel.
181. Reward sustain progress.
182. Shadow threaten assault.
183. Friend offer assist.
184. Reward sustain progress.
185. Enemy threaten assault.
186. Steward offer assist.
187. Ship inspect vessel.
188. Reward sustain progress.
189. Shadow threaten assault.
190. Friend offer assist.
191. Reward sustain progress.
192. Enemy threaten assault.
193. Steward offer assist.
194. Ship inspect vessel.
195. Reward sustain progress.
196. Shadow threaten assault.
197. Friend offer assist.
198. Reward sustain progress.
199. Enemy threaten assault.
200. Steward offer assist.
