1. Observe  pretty  bowls  case
2. Identify  equal  sections  car
3. Review  tall  bedroom  desk
4. Establish  hostile  fear  eye
5. Confirm  rare  package  ship
6. Donate  cheap  dinner  bowl
7. Observe  large  boat  case
8. Modify  soften  jacket  coat
9. Confirm  strict  penalty  line
10. Move  fast  arrow  cable
11. Observe  pleasant  habitat  area
12. Specify  academic  database  system
13. Relieve  anger  shoulder  headache
14. Observe  pleasant  habitat  area
15. Confirm  strict  penalty  line
16. Observe  pleasant  habitat  area
17. Confirm  strict  penalty  line
18. Observe  pleasant  habitat  area
19. Confirm  strict  penalty  line
20. Observe  pleasant  habitat  area
21. Confirm  strict  penalty  line
22. Observe  pleasant  habitat  area
23. Confirm  strict  penalty  line
24. Move  fast  arrow  cable
25. Observe  pleasant  habitat  area
26. Confirm  strict  penalty  line
27. Observe  pleasant  habitat  area
28. Confirm  strict  penalty  line
29. Observe  pleasant  habitat  area
30. Confirm  strict  penalty  line
31. Observe  pleasant  habitat  area
32. Confirm  strict  penalty  line
33. Observe  pleasant  habitat  area
34. Confirm  strict  penalty  line
35. Observe  pleasant  habitat  area
36. Confirm  strict  penalty  line
37. Observe  pleasant  habitat  area
38. Confirm  strict  penalty  line
39. Observe  pleasant  habitat  area
40. Confirm  strict  penalty  line
41. Observe  pleasant  habitat  area
42. Confirm  strict  penalty  line
43. Observe  pleasant  habitat  area
44. Confirm  strict  penalty  line
45. Observe  pleasant  habitat  area
46. Confirm  strict  penalty  line
47. Observe  pleasant  habitat  area
48. Confirm  strict  penalty  line
49. Observe  pleasant  habitat  area
50. Confirm  strict  penalty  line
51. Observe  pleasant  habitat  area
52. Confirm  strict  penalty  line
53. Observe  pleasant  habitat  area
54. Confirm  strict  penalty  line
55. Observe  pleasant  habitat  area
56. Confirm  strict  penalty  line
57. Observe  pleasant  habitat  area
58. Confirm  strict  penalty  line
59. Observe  pleasant  habitat  area
60. Confirm  strict  penalty  line
61. Observe  pleasant  habitat  area
62. Confirm  strict  penalty  line
63. Observe  pleasant  habitat  area
64. Confirm  strict  penalty  line
65. Move  fast  arrow  cable
66. Observe  pleasant  habitat  area
67. Confirm  strict  penalty  line
68. Observe  pleasant  habitat  area
69. Confirm  strict  penalty  line
70. Move  fast  arrow  cable
71. Observe  pleasant  habitat  area
72. Confirm  strict  penalty  line
73. Observe  pleasant  habitat  area
74. Confirm  strict  penalty  line
75. Move  fast  arrow  cable
76. Observe  pleasant  habitat  area
77. Confirm  strict  penalty  line
78. Observe  pleasant  habitat  area
79. Confirm  strict  penalty  line
80. Move  fast  arrow  cable
81. Observe  pleasant  habitat  area
82. Confirm  strict  penalty  line
83. Observe  pleasant  habitat  area
84. Confirm  strict  penalty  line
85. Move  fast  arrow  cable
86. Observe  pleasant  habitat  area
87. Confirm  strict  penalty  line
88. Observe  pleasant  habitat  area
89. Confirm  strict  penalty  line
90. Move  fast  arrow  cable
91. Observe  pleasant  habitat  area
92. Confirm  strict  penalty  line
93. Observe  pleasant  habitat  area
94. Confirm  strict  penalty  line
95. Move  fast  arrow  cable
96. Observe  pleasant  habitat  area
97. Confirm  strict  penalty  line
98. Observe  pleasant  habitat  area
99. Confirm  strict  penalty  line
100. Move  fast  arrow  cable
101. Observe  pleasant  habitat  area
102. Confirm  strict  penalty  line
103. Observe  pleasant  habitat  area
104. Confirm  strict  penalty  line
105. Observe  pleasant  habitat  area
106. Confirm  strict  penalty  line
107. Observe  pleasant  habitat  area
108. Confirm  strict  penalty  line
109. Observe  pleasant  habitat  area
110. Confirm  strict  penalty  line
111. Observe  pleasant  habitat  area
112. Confirm  strict  penalty  line
113. Observe  pleasant  habitat  area
114. Confirm  strict  penalty  line
115. Observe  pleasant  habitat  area
116. Confirm  strict  penalty  line
117. Observe  pleasant  habitat  area
118. Confirm  strict  penalty  line
119. Observe  pleasant  habitat  area
120. Confirm  strict  penalty  line
121. Observe  pleasant  habitat  area
122. Confirm  strict  penalty  line
123. Observe  pleasant  habitat  area
124. Confirm  strict  penalty  line
125. Observe  pleasant  habitat  area
126. Confirm  strict  penalty  line
127. Observe  pleasant  habitat  area
128. Confirm  strict  penalty  line
129. Observe  pleasant  habitat  area
130. Confirm  strict  penalty  line
131. Move  fast  arrow  cable
132. Observe  pleasant  habitat  area
133. Confirm  strict  penalty  line
134. Observe  pleasant  habitat  area
135. Confirm  strict  penalty  line
136. Move  fast  arrow  cable
137. Observe  pleasant  habitat  area
138. Confirm  strict  penalty  line
139. Observe  pleasant  habitat  area
