1. Assess  darkness  mountain  shadow
2. Observe  fur  rabbit  forest
3. Ignore  fog  vehicle  road
4. Reveal  wonder  galaxy  space
5. Confirm  speed  athlete  race
6. Provide  detail  investigation  case
7. Suggest  advice  associate  meeting
8. Create  image  artist  painting
9. Deliver  message  official  letter
10. Improve  quality  product  design
11. Change  pattern  fabric  dress
12. Distinguish  signal  alarm  vehicle
13. Examine  evidence  detective  crime
14. Offer  assistance  volunteer  project
15. Assess  risk  investor  venture
16. Explain  concept  teacher  lesson
17. Confirm  decision  executive  project
18. Consider  factor  scientist  research
19. Deliver  package  delivery  service
20. Inspect  structure  engineer  building
21. Ignore  signal  monitor  station
22. Assess  damage  insurance  claim
23. Inspect  equipment  mechanic  vehicle
24. Consider  factor  analyst  data
25. Define  strategy  planner  team
26. Provide  support  counselor  client
27. Inspect  system  technician  computer
28. Assess  condition  doctor  patient
29. Deliver  warning  police  driver
30. Consider  details  planner  event
31. Define  approach  leader  group
32. Maintain  order  security  guard
33. Provide  feedback  manager  employee
34. Inspect  process  supervisor  factory
35. Assess  threat  intelligence  agency
36. Explain  concept  professor  student
37. Confirm  plan  general  troops
38. Consider  impact  economist  report
39. Maintain  balance  judge  court
40. Provide  comfort  therapist  patient
41. Inspect  tool  craftsman  project
42. Assess  possibility  expert  decision
43. Describe  scene  photographer  image
44. Imagine  dream  artist  painting
45. Detect  danger  guard  building
46. Imagine  outcome  planner  strategy
47. Detect  threat  military  troops
48. Define  criteria  evaluator  project
49. Provide  advice  mentor  student
50. Inspect  tools  builder  house
51. Assess  danger  firefighter  victim
52. Describe  scene  journalist  article
53. Imagine  impact  analyst  outcome
54. Detect  problem  inspector  site
55. Define  limit  expert  project
56. Provide  support  social  worker
57. Inspect  machine  technician  vehicle
58. Assess  quality  inspector  product
59. Describe  scene  witness  investigation
60. Imagine  future  forecaster  trend
61. Detect  error  programmer  code
62. Define  policy  manager  company
63. Deliver  message  messenger  person
64. Inspect  network  engineer  system
65. Assess  risk  financial  advisor
66. Describe  scene  reporter  event
67. Imagine  possibility  researcher  science
68. Detect  signs  tracker  animal
69. Define  target  sniper  mission
70. Deliver  warning  official  citizen
71. Inspect  design  architect  building
72. Assess  potential  consultant  project
73. Describe  pattern  biologist  species
74. Imagine  effect  scientist  experiment
75. Detect  problem  repairman  equipment
76. Define  rules  lawyer  case
77. Deliver  instruction  teacher  student
78. Inspect  system  computer  network
79. Assess  condition  doctor  patient
80. Describe  color  painter  canvas
81. Imagine  outcome  predictor  model
82. Detect  fault  tester  device
83. Define  process  operator  machine
84. Deliver  warning  driver  vehicle
85. Inspect  structure  builder  house
86. Assess  threat   observer   animals
87. Describe  weather  meteorologist  forecast
88. Imagine  result  chemist   experiment
89. Detect  anomaly  scientist  research
90. Define  strategy  commander  army
91. Deliver  message  official  audience
92. Inspect  equipment  engineer   vehicle
93. Assess  quality  consumer   product
94. Describe  location  geographer  map
95. Imagine  outcome  analyst  business
96. Detect  error  programmer  code
97. Define  parameters  engineer  design
98. Deliver  message  diplomat  states
99. Inspect  system  mechanic  engine
100. Assess  condition  doctor  patient
101. Consider  factor  economist  analysis
102. Explore  concept  philosopher  logic
103. Provide  assistance  volunteer  victim
104. Assess  viability  investor  venture
105. Describe  scenario  strategist  plans
106. Imagine  transformation  scientist  research
107. Detect  issue  inspector  project
108. Define  limits  expert  analysis
109. Deliver  warning  police  community
110. Inspect  technology  expert  device
111. Assess  safety  engineer  operation
112. Consider  impact  psychologist  behavior
113. Explore  reason  theologian  faith
114. Provide  support  psychologist  client
115. Assess  risk  insurance  provider
116. Describe  view  artist  landscape
117. Imagine  possibility  scientist  theory
118. Detect  problem  inspector  site
119. Define  limits  expert  data
120. Deliver  message  diplomat  nation
121. Inspect  equipment  craftsman  project
122. Assess  quality  observer  performance
123. Describe  view  photographer  subject
124. Imagine  future  predictor  model
125. Detect  threat  security  agency
126. Define  rules  administrator  business
127. Deliver  instruction  teacher  student
128. Inspect  technology  expert  device
129. Assess  condition  doctor  patient
130. Describe  event  witness  report
131. Imagine  outcome  analyst  study
132. Detect  threat  security  guard
133. Define  rules  officer  police
134. Deliver  warning  official  citizens
135. Inspect  structure  engineer  building
136. Assess  threat  counter  intelligence
137. Describe  scene  journalist  article
138. Imagine  outcome  analyst  report
139. Detect  fault  inspector  system
140. Define  limits  expert  theory
141. Deliver  warning  officer  community
142. Inspect  technology  expert  hardware
143. Assess  threat  counter  intelligence
144. Describe  scene  reporter  incident
145. Imagine  outcome  analyst  research
146. Detect  issue  inspector  process
147. Define  limits  expert  knowledge
148. Deliver  warning  officer  residents
149. Inspect  technology  engineer  system
150. Assess  threat  expert  assessment
151. Describe  style  artist  painting
152. Imagine  impact  researcher  study
153. Detect  issue  investigator  case
154. Define  rules  officer  agency
155. Deliver  warning  police  drivers
156. Inspect  equipment  mechanic  vehicle
157. Assess  threat  expert  analysis
158. Describe  design  architect  building
159. Imagine  impact  researcher  study
160. Detect  issue  inspector  operation
161. Define  rules  officer  department
162. Deliver  warning  police  community
163. Inspect  equipment  mechanic  machine
164. Assess  threat  expert  assessment
165. Describe  style  photographer  image
166. Imagine  outcome  researcher  study
167. Detect  issue  inspector  system
168. Define  limits  expert  understanding
169. Deliver  warning  police  residents
170. Inspect  technology  engineer  system
171. Assess  threat  expert  evaluation
172. Describe  design  architect  plan
173. Imagine  solution  researcher  problem
174. Detect  issue  inspector  situation
175. Define  limits  expert  knowledge
176. Deliver  warning  police  citizens
177. Inspect  hardware  engineer  device
178. Assess  threat  counterintelligence
179. Describe  design  architect  building
180. Imagine  impact  researcher  study
181. Detect  issue  inspector  system
182. Define  limits  expert  research
183. Deliver  warning  police  residents
184. Inspect  device  technician  system
185. Assess  threat  counterintelligence
186. Describe  style  artist  collection
187. Imagine  outcome  researcher  experiment
188. Detect  issue  inspector  process
189. Define  limits  expert  understanding
190. Deliver  warning  police  drivers
191. Inspect  system  engineer  device
192. Assess  threat  agency
193. Describe  style  musician  song
194. Imagine  outcome  analyst  study
195. Detect  fault  inspector  system
196. Define  limits  expert  knowledge
197. Deliver  warning  officer  community
198. Inspect  system  engineer  hardware
199. Assess  threat  counterintelligence
200. Describe  style  painter  canvas
