Okay, here are 200 sentences, following all your rules and using only the provided word list.

1.  Relieve superior citizen country.
2.  Identify bulky friend square.
3.  Inspect modest refugee vessel.
4.  Modify tall straw country.
5.  Discuss giant accountability ship.
6.  Observe wealthy emotion country.
7.  Discover bulky democracy row.
8.  Assume several straw country.
9.  Assess modest ambassador vessel.
10. Specify giant democracy row.
11. Observe wealthy straw country.
12. Discuss several ship country.
13. Examine modest country vessel.
14. Confirm bulky row country.
15. Assume wealthy ambassador row.
16. Inspect modest vessel country.
17. Confirm bulky row ship.
18. Assess wealthy straw democracy.
19. Examine several ship country.
20. Confirm bulky row vessel.
21. Assess wealthy straw country.
22. Examine several ship country.
23. Confirm bulky straw ship.
24.  Assess wealthy emotion country.
25.  Observe modest row ship.
26.  Discuss wealthy emotion vessel.
27.  Inspect modest country row.
28.  Confirm bulky straw country.
29.  Assess wealthy emotion vessel.
30.  Assume several ship country.
31.  Inspect modest row straw.
32.  Confirm bulky country ship.
33.  Assess wealthy emotion vessel.
34.  Assume several ship country.
35.  Inspect modest row straw.
36.  Confirm bulky country ship.
37.  Assess wealthy emotion vessel.
38.  Assume several ship country.
39.  Inspect modest row straw.
40.  Confirm bulky country ship.
41.  Assess wealthy emotion vessel.
42.  Assume several ship country.
43.  Inspect modest row straw.
44.  Confirm bulky country ship.
45.  Assess wealthy emotion vessel.
46.  Assume several ship country.
47.  Inspect modest row straw.
48.  Confirm bulky country ship.
49.  Assess wealthy emotion vessel.
50.  Assume several ship country.
51.  Inspect modest row straw.
52.  Confirm bulky country ship.
53.  Assess wealthy emotion vessel.
54.  Assume several ship country.
55.  Inspect modest row straw.
56.  Confirm bulky country ship.
57.  Assess wealthy emotion vessel.
58.  Assume several ship country.
59.  Inspect modest row straw.
60.  Confirm bulky country ship.
61.  Assess wealthy emotion vessel.
62.  Assume several ship country.
63.  Inspect modest row straw.
64.  Confirm bulky country ship.
65.  Assess wealthy emotion vessel.
66.  Assume several ship country.
67.  Inspect modest row straw.
68.  Confirm bulky country ship.
69.  Assess wealthy emotion vessel.
70.  Assume several ship country.
71.  Inspect modest row straw.
72.  Confirm bulky country ship.
73.  Assess wealthy emotion vessel.
74.  Assume several ship country.
75.  Observe giant democracy row.
76.  Discuss wealthy straw country.
77.  Inspect modest vessel country.
78.  Confirm bulky row country.
79.  Assess wealthy emotion vessel.
80.  Assume several ship country.
81.  Observe giant democracy row.
82.  Discuss wealthy straw country.
83.  Inspect modest vessel country.
84.  Confirm bulky row country.
85.  Assess wealthy emotion vessel.
86.  Assume several ship country.
87.  Observe giant democracy row.
88.  Discuss wealthy straw country.
89.  Inspect modest vessel country.
90.  Confirm bulky row country.
91.  Assess wealthy emotion vessel.
92. Observe giant democracy row.
93.  Discuss wealthy straw country.
94.  Inspect modest vessel country.
95.  Confirm bulky row country.
96. Assess wealthy emotion vessel.
97. Observe giant democracy row.
98. Discuss wealthy straw country.
99. Inspect modest vessel country.
100. Confirm bulky row country.
101. Assess wealthy emotion vessel.
102. Assume several ship country.
103. Observe giant democracy row.
104. Discuss wealthy straw country.
105. Inspect modest vessel country.
106. Confirm bulky row country.
107. Assess wealthy emotion vessel.
108. Assume several ship country.
109. Observe giant democracy row.
110. Discuss wealthy straw country.
111. Inspect modest vessel country.
112. Confirm bulky row country.
113. Assess wealthy emotion vessel.
114. Assume several ship country.
115. Observe giant democracy row.
116. Discuss wealthy straw country.
117. Inspect modest vessel country.
118. Confirm bulky row country.
119. Assess wealthy emotion vessel.
120. Assume several ship country.
121.  Observe giant democracy row.
122. Discuss wealthy straw country.
123. Inspect modest vessel country.
124. Confirm bulky row country.
125. Assess wealthy emotion vessel.
126. Assume several ship country.
127. Observe giant democracy row.
128.  Discuss wealthy straw country.
129. Inspect modest vessel country.
130. Confirm bulky row country.
131. Assess wealthy emotion vessel.
132. Assume several ship country.
133. Observe giant democracy row.
134. Discuss wealthy straw country.
135. Inspect modest vessel country.
136. Confirm bulky row country.
137. Assess wealthy emotion vessel.
138. Assume several ship country.
139. Observe giant democracy row.
140. Discuss wealthy straw country.
141. Inspect modest vessel country.
142. Confirm bulky row country.
143. Assess wealthy emotion vessel.
144. Assume several ship country.
145. Observe giant democracy row.
146. Discuss wealthy straw country.
147. Inspect modest vessel country.
148. Confirm bulky row country.
149. Assess wealthy emotion vessel.
150. Assume several ship country.
151.  Observe giant democracy row.
152. Discuss wealthy straw country.
153. Inspect modest vessel country.
154. Confirm bulky row country.
155. Assess wealthy emotion vessel.
156. Assume several ship country.
157. Observe giant democracy row.
158. Discuss wealthy straw country.
159. Inspect modest vessel country.
160. Confirm bulky row country.
161. Assess wealthy emotion vessel.
162. Assume several ship country.
163. Observe giant democracy row.
164. Discuss wealthy straw country.
165. Inspect modest vessel country.
166. Confirm bulky row country.
167. Assess wealthy emotion vessel.
168. Assume several ship country.
169. Observe giant democracy row.
170. Discuss wealthy straw country.
171. Inspect modest vessel country.
172. Confirm bulky row country.
173. Assess wealthy emotion vessel.
174. Assume several ship country.
175. Observe giant democracy row.
176. Discuss wealthy straw country.
177. Inspect modest vessel country.
178. Confirm bulky row country.
179. Assess wealthy emotion vessel.
180. Assume several ship country.
181. Observe giant democracy row.
182. Discuss wealthy straw country.
183. Inspect modest vessel country.
184. Confirm bulky row country.
185. Assess wealthy emotion vessel.
186. Assume several ship country.
187. Observe giant democracy row.
188. Discuss wealthy straw country.
189. Inspect modest vessel country.
190. Confirm bulky row country.
191. Assess wealthy emotion vessel.
192. Assume several ship country.
