Here are 200 sentences, each adhering to your strict rules and structure:

1.  Move  dark  ship  ocean
2.  Relieve  brown  car  road
3.  Inspect  tall  house  window
4.  Treat  pleasant  citizen  world
5.  Identify  useful  box  desk
6.  Offer  cheap  book  floor
7.  Assume  average  country  leader
8.  Provide  equal  place  street
9.  Express  new  reason  problem
10. Assure  giant  state  planet
11.  Modify  dark  theme  picture
12.  Inspect  brown  friend  party
13.  Treat  average  lawmaker  nation
14.  Assume  sweet  citizen  place
15.  Offer  dark  house  street
16.  Assume  pleasant  country  planet
17.  Offer  large  state  city
18.  Assume  small  place  river
19.  Inspect  white  leader  nation
20.  Assume  funny  city  place
21.  Inspect  gray  river  place
22.  Assume  happy  nation  street
23.  Inspect  old  city  country
24.  Assume  warm  leader  planet
25.  Inspect  red  place  river
26.  Assume  cold  country  nation
27.  Inspect  green  leader  city
28.  Assume  sad  place  nation
29.  Inspect  blue  city  country
30.  Assume  bright  leader  planet
31.  Inspect  dark  state  river
32.  Assume  quiet  nation  place
33.  Inspect  large  city  street
34.  Assume  slow  country  leader
35.  Inspect  fast  state  nation
36.  Assume  deep  place  river
37.  Inspect  wide  city  street
38.  Assume  high  leader  planet
39.  Inspect  flat  country  nation
40.  Assume  long  place  river
41.  Inspect  short  city  street
42.  Assume  sharp  leader  planet
43.  Inspect  round  country  nation
44.  Assume  square  place  river
45.  Inspect  tiny  city  street
46.  Assume  bold  leader  planet
47.  Inspect  light  country  nation
48.  Assume  funny  place  river
49.  Inspect  sweet  city  street
50.  Assume  large  leader  planet
51.  Inspect  small  country’s  river
52.  Assume  quick  city’s  street
53.  Inspect  clear  leader’s  river
54.  Assume  dark  city’s street
55.  Inspect  cold  leader’s river
56.  Assume  fast  country’s street
57.  Inspect  hot places’ river
58.  Assume  bright places’ river
59.  Inspect  calm places’ river
60.  Assume  angry places’ river
61.  Inspect  small  state’s river
62.  Assume  great places’ river
63.  Inspect  nice country’s river
64.  Assume  true places’ river
65.  Inspect  cold leader’s river
66.  Assume  high places’ river 
67.  Inspect  slow country’s river
68.  Assume  sharp places’ river
69.  Inspect  fine leader’s river
70.  Assume  quiet country’s river
71.  Inspect  strong places’ river
72.  Assume  warm places’ river
73.  Inspect  funny leader’s river
74.  Assume  cold places’ river
75.  Inspect  good leader’s river
