Here are 200 sentences, following all your rules:

1.  Commander assure quality vessel.
2.  Driver inspects substantial wealth.
3.  Citizen identify useful straw.
4.  Administrator tolerate warmth wire.
5.  Farmer inspects substantial vessel.
6.  Teacher modifies useful wire.
7.  President inspects substantial wire.
8.  Administrator modifies useful straw.
9.  Doctor inspects substantial straw.
10. Inspector modifies substantial wire.
11. Speaker examines useful straw.
12. Officer inspects substantial wire.
13. Governor examines substantial wire.
14. Mayor inspects substantial wire.
15. Senator examines substantial wire.
16. Judge inspects substantial wire.
17. Clerk examines substantial wire.
18. Lawyer modifies substantial wire.
19. Analyst inspects substantial wire.
20. Counselor examines substantial wire.
21. Agent inspects substantial wire.
22. Diplomat examines substantial wire.
23. Referee inspects substantial wire.
24. Coach examines substantial wire.
25. Judge inspects substantial straw.
26. Referee examines substantial straw.
27. Coach inspects substantial wire.
28. Mayor inspects substantial straw.
29.  Administrator modifies useful straw.
30.  Doctor inspects substantial wire. 
31.  Teacher examines substantial straw.
32.  Judge inspects substantial wire.
33.  Referee examines substantial straw.
34. Doctor examines substantial wire.
35.  Teacher modifies useful straw.
36.  Referee inspects substantial wire.
37.  Doctor examines substantial straw.
38.  Referee inspects substantial wire.
39.  Doctor examines substantial straw.
40.  Referee examines substantial straw.
41.  Doctor inspects substantial wire.
42.  Officer modifies useful straw.
43.  Professor examines substantial wire.
44.  Counselor inspects substantial straw.
45.  Inspector modifies useful wire.
46.  Diplomat examines substantial straw.
47.  Referee inspects substantial wire.
48.  Doctor examines substantial straw.
49.  Referee inspects substantial wire.
50.  Doctor examines substantial straw.
51.  Referee inspects substantial wire.
52.  Doctor examines substantial straw.
53.  Referee examines substantial wire.
54.  Doctor examines substantial straw.
55.  Referee inspects substantial wire.
56.  Doctor examines substantial straw.
57.  Referee examines substantial wire.
58.  Doctor inspects substantial straw.
59.  Officer modifies useful wire.
60.  Professor examines substantial straw. 
61. Counselor inspects substantial wire.
62.  Diplomat examines substantial straw.
63.  Referee inspects substantial wire.
64.  Doctor examines substantial straw.
65.  Referee inspects substantial wire.
66.  Doctor examines substantial straw.
67.  Referee inspects substantial wire.
68.  Doctor examines substantial straw.
69. Referee inspects substantial wire.
70.  Doctor examines substantial straw.
71.  Referee inspects substantial wire.
72.  Doctor examines substantial straw.
73.  Referee inspects substantial wire.
74.  Doctor examines substantial straw.
75.  Referee inspects substantial wire.
76.  Doctor examines substantial straw.
77. Secretary modifies useful wire.
78. Analyst examines substantial straw.
79. Counselor inspects substantial wire.
80. Diplomat examines substantial straw.
81. Referee inspects substantial wire.
82. Doctor examines substantial straw.
83. Referee inspects substantial wire.
84. Doctor examines substantial straw.
85. Referee inspects substantial wire.
86. Doctor examines substantial straw.
87. Referee inspects substantial wire.
88. Doctor examines substantial straw.
89. Referee inspects substantial wire.
90. Doctor examines substantial straw.
91. Secretary modifies useful wire.
92. Teacher examines substantial straw.
93. Analyst inspects substantial wire.
94. Counselor modifies useful straw.
95. Diplomat examines substantial wire.
96. Referee inspects substantial straw.
97. Doctor examines substantial wire.
98. Teacher inspects substantial straw.
99. Analyst modifies useful wire.
100. Counselor examines substantial straw. 
101. Diplomat inspects substantial wire.
102. Referee examines substantial straw.
103.  Doctor inspects substantial wire.
104. Teacher examines substantial straw.
105. Analyst modifies useful wire.
106. Counselor inspects substantial straw.
107. Diplomat examines substantial wire.
108. Referee inspects substantial straw.
109. Doctor examines substantial wire.
110. Teacher modifies useful straw.
111. Analyst inspects substantial wire.
112. Counselor examines substantial straw.
113. Diplomat inspects substantial wire.
114. Referee examines substantial straw.
115. Doctor inspects substantial wire.
116. Teacher modifies useful straw.
117. Analyst examines substantial wire.
118. Counselor inspects substantial straw.
119. Diplomat examines substantial wire.
120. Referee inspects substantial straw.
121. Doctor examines substantial wire.
122. Teacher modifies useful straw.
123. Analyst inspects substantial wire.
124. Counselor examines substantial straw.
125. Diplomat inspects substantial wire.
126. Referee examines substantial straw.
127. Doctor examines substantial wire.
128. Teacher modifies useful straw.
129. Analyst inspects substantial wire.
130. Counselor examines substantial straw.
