1. Run fast car highway
2. Eat sweet grape fruit
3. Provide warm clothing coat
4. Write short happy letter
5. Sing loud clear song
6. Read old interesting book
7. Drive big brown truck
8. Build strong tall tower
9. Learn new difficult lesson
10. Take cold hard test
11. Ride fast white horse
12. Jump high great jump
13. Hear sad bad news
14. See bright beautiful star
15. Feel happy warm sun
16. Make quick easy money
17. Have big happy family
18. Go long hard walk
19. Get good high grade
20. Play fun exciting game
21. Write long detailed report
22. Read great old book
23. Eat healthy green food
24. Drive slow careful car
25. Take beautiful nice picture
26. Learn easy simple skill
27. Hear loud clear music
28. See big bright sun
29. Feel cold hard floor
30. Make strong heavy lift
31. Have long happy life
32. Go fast quick run
33. Get small little dog
34. Play rough tough game
35. Write short quick note
36. Read interesting old newspaper
37. Eat hot spicy food
38. Drive big fast truck
39. Take long hard look
40. Learn new complex skill
41. Hear soft gentle music
42. See beautiful nice view
43. Feel happy free spirit
44. Make easy simple decision
45. Have big strong team
46. Go slow careful walk
47. Get good nice job
48. Play fun happy game
49. Write long complicated story
50. Read great interesting article
51. Eat cold hard ice
52. Drive small slow car
53. Take short quick break
54. Learn difficult new language
55. Hear loud angry voice
56. See big beautiful house
57. Feel sad bad pain
58. Make strong brave move
59. Have long difficult journey
60. Go fast exciting ride
61. Get little small gift
62. Play easy fun game
63. Write short happy poem
64. Read old boring book
65. Eat healthy fresh food
66. Drive big powerful truck
67. Take long hard trip
68. Learn new easy skill
69. Hear soft sweet music
70. See beautiful bright flower
71. Feel happy warm love
72. Make quick smart decision
73. Have big nice house
74. Go slow quiet walk
75. Get good high score
76. Play rough physical game
77. Write long detailed essay
78. Read great old classic
79. Eat hot delicious meal
80. Drive fast sleek car
81. Take short easy test
82. Learn new complex system
83. Hear loud clear bell
84. See big beautiful mountain
85. Feel cold hard stone
86. Make strong firm stand
87. Have long happy marriage
88. Go fast quick flight
89. Get small little bird
90. Play fun exciting sport
91. Write short quick message
92. Read interesting new book
93. Eat cold frozen food
94. Drive big heavy truck
95. Take long hard hike
96. Learn difficult old skill
97. Hear soft gentle breeze
98. See beautiful nice beach
99. Feel happy free joy
100. Make easy simple choice
101. Have big strong muscle
102. Go slow careful drive
103. Get good nice friend
104. Play fun happy music
105. Write long complicated novel
106. Read great old story
107. Eat hot spicy curry
108. Drive small fast car
109. Take short quick look
110. Learn new easy language
111. Hear loud angry shout
112. See big beautiful city
113. Feel sad bad sorrow
114. Make strong brave effort
115. Have long difficult task
116. Go fast exciting journey
117. Get little small toy
118. Play easy fun game
119. Write short happy letter
120. Read old interesting article
121. Eat healthy fresh salad
122. Drive big powerful bus
123. Take long hard exam
124. Learn new complex subject
125. Hear soft sweet melody
126. See beautiful bright picture
127. Feel happy warm feeling
128. Make quick smart move
129. Have big nice family
130. Go slow quiet hike
131. Get good high grade
132. Play rough tough sport
133. Write long detailed report
134. Read great old book
135. Eat cold hard candy
136. Drive small slow truck
137. Take short easy walk
138. Learn difficult new system
139. Hear loud clear voice
140. See big beautiful castle
141. Feel cold hard metal
142. Make strong firm decision
143. Have long happy life
144. Go fast quick ride
145. Get little small cat
146. Play fun exciting game
147. Write short quick note
148. Read interesting old newspaper
149. Eat hot delicious steak
150. Drive big fast car
151. Take long hard trip
152. Learn new easy skill
153. Hear soft gentle sound
154. See beautiful nice garden
155. Feel happy free spirit
156. Make easy simple choice
157. Have big strong team
158. Go slow careful walk
159. Get good nice job
160. Play fun happy music
161. Write long complicated story
162. Read great interesting article
163. Eat cold hard ice
164. Drive small slow car
165. Take short quick break
166. Learn difficult new language
167. Hear loud angry voice
168. See big beautiful house
169. Feel sad bad pain
170. Make strong brave move
171. Have long difficult journey
172. Go fast exciting ride
173. Get little small gift
174. Play easy fun game
175. Write short happy poem
176. Read old boring book
177. Eat healthy fresh food
178. Drive big powerful truck
179. Take long hard test
180. Learn new complex system
181. Hear soft sweet music
182. See beautiful bright flower
183. Feel happy warm love
184. Make quick smart decision
185. Have big nice house
186. Go slow quiet walk
187. Get good high score
188. Play rough physical game
189. Write long detailed essay
190. Read great old classic
191. Eat hot delicious meal
192. Drive fast sleek car
193. Take short easy exam
194. Learn new complex subject
195. Hear loud clear bell
196. See big beautiful mountain
197. Feel cold hard stone
198. Make strong firm stand
199. Have long happy marriage
200. Go fast quick flight
