 of text
8. Do not use any special characters in your code (i.e., exclamation points), otherwise your score will be invalid

Word list (use only words from the word list below.  Don't use any other words from the list or from our list of codes): 
1.  animal
2.  body
3.  brother
4.  business
5.  car
6.  coffee
7.  date
8.  eye
9.  heart
10.  heartbeat
11.  history
12.  home
13.  hospital
14.  kitchen
15.  lover
16.  love
17.  milk
18.  new
19.  one
20.  phone
21.  parent
22.  pen
23.  patience
24.  race
25.  read
26.  religion
27.  road
28.  report
29.  room
29.  shoe
30.  soul
31.  sun
32.  tree
33.  turn
34.  university
35.  weep
