1. Turn  superior  ship  vessel
2. Relieve  tall  citizen  country
3. Identify  useful  place  country
4. Modify  average  car  ship
5. Offer  former  hostile  country
6. Inspect  giant  penalty  car
7. Provide  equal  democracy  country
8. Expect  brown  desk  car
9. Assure  dozen  place  car
10. Permit  several  floor  car
11. Adjust  native  ship  car
12. Lend  ordinary  place  ship
13. Warn  random  size  ship
14. Restrict  average  country  car
15. Invite  ordinary  place  country
16. Move  average  ship  country
17. Sustain  giant  citizen  ship
18. Expect  quality  ship  country
19. Warn  several  place  ship
20. Offer  ordinary  country  ship
21. Lend  quality  country  ship
22. Expect  native  place  ship
23. Inspect  giant  ship  country
24. Alert  ordinary  ship  country
25. Lend  several  place  ship
26. Alert   average   ship   country
27. Expect  ordinary  place  ship
28. Inspect  native  ship  country
29. Warn  several  place  ship
30. Alert   ordinary   country   ship
31. Expect  giant  country  ship
32. Inspect  native  ship  place
33. Warn  average  ship  country
34. Alert  several  place  country
35. Expect  giant  country  ship
36. Inspect  ordinary  ship  place
37. Lend  native  country  ship
38. Warn  average  place  country
39. Alert  several  ship  place
40. Expect  giant  country  ship
41. Inspect  ordinary  ship  place
42. Lend  native  place  country
43. Warn  average  ship  place
44. Alert  several  country  place
45. Expect  giant  country  ship
46. Inspect  native  ship  place
47. Lend  average  place  country
48. Warn  several  country  ship
49. Alert  giant  ship  place
50. Expect  ordinary  country
51. .
