1. Create brilliant tourist mountain
2. Invest stupid education forest
3. Develop heavy actress diamond
4. Paint thin collector painting
5. Write dirty thesis paper
6. Drive fast police car
7. Eat fresh chicken meat
8. Sing sweet musician song
9. Build strong warrior castle
10. Run quick athlete track
11. Jump high basketball player
12. Read interesting book story
13. Learn easy student lesson
14. Grow old tree branch
15. Flow cool river water
16. Shine bright sun light
17. Hear loud music sound
18. See clear eye vision
19. Feel happy heart emotion
20. Think deep mind thought
21. Move quick animal leg
22. Make strong man muscle
23. Take sharp knife blade
24. Give kind woman gift
25. Bring warm fire flame
26. Speak clear voice tone
27. Live long life time
28. Work hard job worker
29. Play fun game toy
30. Ride fast horse saddle
31. Sail big ship sea
32. Fly high bird wing
33. Swim strong fish fin
34. Dance beautiful girl dress
35. Write nice pen letter
36. Paint colorful artist picture
37. Build tall building tower
38. Drive slow truck road
39. Eat hot food spice
40. Drink cold water ice
41. Read old book page
42. Learn new student skill
43. Grow green plant leaf
44. Flow warm air wind
45. Shine soft moon glow
46. Hear quiet music melody
47. See dark eye shadow
48. Feel sad heart pain
49. Think hard mind problem
50. Move slow animal pace
51. Make weak man body
52. Take dull knife edge
53. Give cold woman shoulder
54. Bring dark fire ashes
55. Speak loud voice shout
56. Live short life span
57. Work easy job task
58. Play boring game routine
59. Ride small horse pony
60. Sail little ship boat
61. Fly low bird wing
62. Swim weak fish swim
63. Dance ugly girl dance
64. Write bad pen mistake
65. Paint dull artist color
66. Build short building house
67. Drive rough truck road
68. Eat cold food refrigerator
69. Drink hot water tea
70. Read boring book chapter
71. Learn difficult student subject
72. Grow dry plant soil
73. Flow cold air frost
74. Shine bright star light
75. Hear loud noise sound
76. See clear sky blue
77. Feel happy heart joy
78. Think easy mind solution
79. Move fast animal run
80. Make strong woman muscle
81. Take sharp sword blade
82. Give kind man gift
83. Bring warm sun heat
84. Speak clear voice speech
85. Live long life age
86. Work hard job career
87. Play fun game sport
88. Ride fast bike wheel
89. Sail big yacht sea
90. Fly high plane wing
91. Swim strong swimmer stroke
92. Dance beautiful dancer move
93. Write nice writer story
94. Paint colorful painter picture
95. Build tall skyscraper tower
96. Drive slow car traffic
97. Eat delicious food restaurant
98. Drink cold drink ice
99. Read interesting book novel
100. Learn new student course
101. Grow green tree forest
102. Flow warm water spring
103. Shine soft lamp light
104. Hear quiet music piano
105. See dark room shadow
106. Feel sad heart sorrow
107. Think hard mind puzzle
108. Move slow animal walk
109. Make weak man frail
110. Take dull pencil lead
111. Give cold woman chill
112. Bring dark night darkness
113. Speak loud voice yell
114. Live short life breath
115. Work easy job leisure
116. Play boring game chore
117. Ride small donkey back
118. Sail little canoe lake
119. Fly low kite string
120. Swim weak fish school
121. Dance ugly dancer step
122. Write bad writer mistake
123. Paint dull painter color
124. Build short building hut
125. Drive rough car road
126. Eat cold food leftovers
127. Drink hot water coffee
128. Read boring book textbook
129. Learn difficult student test
130. Grow dry plant desert
131. Flow cold air breeze
132. Shine bright sun beam
133. Hear loud noise crash
134. See clear eye sight
135. Feel happy heart love
136. Think easy mind idea
137. Move fast animal sprint
138. Make strong man power
139. Take sharp axe blade
140. Give kind woman care
141. Bring warm fire warmth
142. Speak clear voice tone
143. Live long life legacy
144. Work hard job dedication
145. Play fun game excitement
146. Ride fast train track
147. Sail big ship ocean
148. Fly high eagle wing
149. Swim strong swimmer dive
150. Dance beautiful dancer leap
151. Write nice writer script
152. Paint colorful painter mural
153. Build tall building skyscraper
154. Drive slow car pace
155. Eat delicious food cuisine
156. Drink cold drink refreshment
157. Read interesting book biography
158. Learn new student knowledge
159. Grow green plant garden
160. Flow warm water fountain
161. Shine soft moon glow
162. Hear quiet music serenade
163. See dark room silence
164. Feel sad heart ache
165. Think hard mind challenge
166. Move slow animal creep
167. Make weak man vulnerable
168. Take dull knife handle
169. Give cold woman indifference
170. Bring dark night gloom
171. Speak loud voice command
172. Live short life flash
173. Work easy job vacation
174. Play boring game routine
175. Ride small horse ride
176. Sail little boat lake
177. Fly low bird flight
178. Swim weak fish struggle
179. Dance ugly dancer stumble
180. Write bad writer error
181. Paint dull painter stroke
182. Build short building shack
183. Drive rough car bump
184. Eat cold food chill
185. Drink hot water burn
186. Read boring book chore
187. Learn difficult student struggle
188. Grow dry plant wither
189. Flow cold air gust
190. Shine bright star twinkle
191. Hear loud noise blast
192. See clear sky sunrise
193. Feel happy heart delight
194. Think easy mind insight
195. Move fast animal dash
196. Make strong man strength
197. Take sharp sword fight
198. Give kind woman compassion
199. Bring warm sun shine
200. Speak clear voice announcement
