Here is a numbered list of 200 sentences, each adhering to your specific rules:

1.  Move  giant  brown  car
2.  Know  average  ten  pole
3.  Identify  lucky  equal  wire
4.  Treat  useful  floor  desk
5.  Sustain  strange  dozen  straw
6.  Make  large  several  wire
7.  Relieve  quiet  small  bowl
8.  Inspect  rare  ten  arrow
9.  Lend  happy  small  vessel
10.  Turn  tough  whole  mask
11.  Move  wise  large  country
12.  Relieve  clear  room  wire
13.  Inspect  cold  equal  car
14.  Lend  quick  small  arrow
15.  Turn  busy  whole  cage
16.  Move  quick  small  bowl
17.  Inspect  funny  whole  straw
18.  Lend  silent  large  arrow
19.  Turn  sharp  whole  vessel
20.  Move  calm  large  country
21.  Relieve  dark  small  bottle
22.  Inspect  cold  equal  car
23.  Lend  clean  small  arrow
24.  Turn  tough  whole  mask
25.  Move  large  small  bottle
26.  Relieve  clear  equal  car
27.  Inspect  soft  small  arrow
28.  Lend  quiet  whole  mask
29.  Move  happy  small  bottle
30.  Relieve  warm  equal  car
31.  Inspect  sharp  small  arrow
32.  Lend  silent  whole  mask
33.  Move  bright  small  bottle
34.  Relieve  warm  equal  car
35.  Inspect  slow  small  arrow
36.  Lend  quiet  whole  mask
37.  Move  calm  small  bottle
38.  Relieve  cold  equal  car
39.  Inspect  soft  small  arrow
40.  Lend  quick  whole  mask
41.  Move  sharp  small  bottle
42.  Relieve  warm  equal  car
43.  Inspect  calm  small  arrow
44.  Lend  quiet  whole  mask
45.  Move  bright  small  bottle
46.  Relieve  cold  equal  car
47.  Inspect  sharp  small  arrow
48.  Lend  slow  whole  mask
49.  Move  calm  small  bottle
50.  Relieve  cold  equal  car
51.  Inspect  sharp  small  arrow
52.  Lend  quiet  whole  mask
53.  Move  bright  small  bottle
54.  Relieve  cold  equal  car
55.  Inspect  quiet  small  arrow
56.  Lend  sharp  whole  mask
57.  Move  calm  small  bottle
58.  Relieve  dark  small  bottle
59.  Inspect  quick  small  arrow
60.  Lend  calm  whole  mask
61.  Move  bright  small  bottle
62.  Relieve  dark  small  bottle
63.  Inspect  sharp  small  arrow
64.  Lend  calm  whole  mask
65.  Move  quick  small  bottle
66.  Relieve  dark  small  bottle
67.  Inspect  sharp  small  arrow
68.  Lend  calm  whole  mask
69.  Move  bright  small  bottle
70.  Relieve  slow  small  bottle
71.  Inspect  quick  small  arrow
72.  Lend  calm  whole  mask
73.  Move  bright  small  bottle
74.  Relieve  dark  small  bottle
75.  Inspect  quick  small  arrow
76.  Lend  calm  whole  mask
77.  Move  sharp  small  bottle
78.  Relieve  dark  small  bottle
79.  Inspect  slow  small  arrow
80.  Lend  quiet  whole  mask
81.  Move  bright  small  bottle
82.  Relieve  dark  small  bottle
83.  Inspect  sharp  small  arrow
84.  Lend  calm  whole  mask
85.  Move  quick  small  bottle
86.  Relieve  dark  small  bottle
87.  Inspect  calm  small  arrow
88.  Lend  sharp  whole  mask
89.  Move  bright  small  bottle
90.  Relieve  dark  small  bottle
91.  Inspect  quick  small  arrow
92.  Lend  calm  whole  mask
93.  Move  sharp  small  bottle
94.  Relieve  dark  small  bottle
95.  Inspect  slow  small  arrow
96.  Lend  calm  whole  mask
97.  Move  bright  small  bottle
98.  Relieve  dark  small  bottle
99.  Inspect  quiet  small  arrow
100. Lend  calm  whole  mask
101. Move  sharp  small  bottle
102. Relieve  dark  small  bottle
103. Inspect  quick  small  arrow
104. Lend  calm  whole  mask
105. Move  bright  small  bottle
106. Relieve  dark  small  bottle
107. Inspect  sharp  small  arrow
108. Lend  calm  whole  mask
109. Move  quick  small  bottle
110. Relieve  dark  small  bottle
111. Inspect  slow  small  arrow
112. Lend  calm  whole  mask
113. Move  sharp  small  bottle
114. Relieve  dark  small  bottle
115. Inspect  quick  small  arrow
116. Lend  calm  whole  mask
117. Move  bright  small  bottle
118. Relieve  dark  small  bottle
119. Inspect  sharp  small  arrow
120. Lend  calm  whole  mask
121. Move  sharp  small  bottle
122.  Relieve  warm  small  bottle
123. Inspect  slow  small  arrow
124. Lend   bright  whole  mask
125. Move  cold  small  bottle
126. Relieve  calm  small  bottle
127. Inspect  slow  small  arrow
128. Lend   sharp  whole  mask
129. Move  quick  small  bottle
130. Relieve  calm  small  bottle
131. Inspect  slow  small  arrow
132. Lend   bright  whole  mask
