1. Create unique sentence
2. Develop brilliant strategy
3. Paint beautiful landscape painting
4. Build strong stone wall
5. Make delicious sweet cake
6. Write interesting short story
7. Play difficult golf course
8. Drive fast brown car
9. Eat healthy green salad
10. Learn easy Japanese language
11. Take wonderful tropical vacation
12. Drink cold plastic water
13. Read exciting new book
14. Ride happy little bicycle
15. Buy expensive senior watch
16. Sell old bronze statue
17. Find rare unique diamond
18. Wear warm winter coat
19. Hold small cute kitten
20. Pick fresh pink flower
